UniprotIds	Gene.names	M1_eCLIP_EPRS_5_RUVBL2_2.5_RPS5_1_DLD_0.5_KARS_0.25	M2_eCLIP_NOLC1_5_RBFOX2_2.5_G3BP2_1_PRPF8_0.5_DDX42_0.25	M3_eCLIP_YTHDF1_5_NUP35_2.5_MCM2_1_AATF_0.5_TAF15_0.25	M4_eCLIP_RBFOX2_5_G3PC2_2.5_RUVBL2_1_RPS5_0.5_NUP35_0.25	M5_eCLIP_AATF_5_MCM2_2.5_DLD_1_KARS_0.5_PRPF8_0.25	M6_eCLIP_TAF15_5_DDX42_2.5_EPRS_1_NOLC1_0.5_YTHDF1_0.25	M7_eCLIP_G3BP2_5_KARS_2.5_NOLC1_1_RUVBL2_0.5_AATF_0.25	M8_eCLIP_RPS5_5_TAF15_2.5_PRPF8_1_NUP35_0.5_EPRS_0.25	M9_eCLIP_DDX42_5_DLD_2.5_YTHDF1_1_RBFOX2_0.5_MCM2_0.25	M10_eCLIP_NUP35_5_PRPF8_2.5_DDX42_1_MCM2_0.5_RUVBL2_0.25	M11_eCLIP_DLD_5_EPRS_2.5_RBFOX2_1_TAF15_0.5_RPS5_0.25	M12_eCLIP_KARS_5_NOLC1_2.5_AATF_1_YTHDF1_0.5_G2BP2_0.25	M13_eCLIP_MCM2_5_RPS5_2.5_TAF15_1_G3BP2_0.5_RBFOX2_0.25	M14_eCLIP_PRPF8_5_AATF_2.5_NUP35_1_EPRS_0.5_DLD_0.25	M15_eCLIP_RUVBL2_5_YTHDF1_2.5_KARS_1_DDX42_0.5_NOLC1_0.25	CTL4	CTL5_eCLIP	empty	M1_IP_EPRS_5_RUVBL2_2.5_RPS5_1_DLD_0.5_KARS_0.25	M2_IP_NOLC1_5_RBFOX2_2.5_G3BP2_1_PRPF8_0.5_DDX42_0.25	M3_IP_YTHDF1_5_NUP35_2.5_MCM2_1_AATF_0.5_TAF15_0.25	M4_IP_RBFOX2_5_G3PC2_2.5_RUVBL2_1_RPS5_0.5_NUP35_0.25	M5_IP_AATF_5_MCM2_2.5_DLD_1_KARS_0.5_PRPF8_0.25	M6_IP_TAF15_5_DDX42_2.5_EPRS_1_NOLC1_0.5_YTHDF1_0.25	M7_IP_G3BP2_5_KARS_2.5_NOLC1_1_RUVBL2_0.5_AATF_0.25	M8_IP_RPS5_5_TAF15_2.5_PRPF8_1_NUP35_0.5_EPRS_0.25	M9_IP_DDX42_5_DLD_2.5_YTHDF1_1_RBFOX2_0.5_MCM2_0.25	M10_IP_NUP35_5_PRPF8_2.5_DDX42_1_MCM2_0.5_RUVBL2_0.25	M11_IP_DLD_5_EPRS_2.5_RBFOX2_1_TAF15_0.5_RPS5_0.25	M12_IP_KARS_5_NOLC1_2.5_AATF_1_YTHDF1_0.5_G2BP2_0.25	M13_IP_MCM2_5_RPS5_2.5_TAF15_1_G3BP2_0.5_RBFOX2_0.25	M14_IP_PRPF8_5_AATF_2.5_NUP35_1_EPRS_0.5_DLD_0.25	M15_IP_RUVBL2_5_YTHDF1_2.5_KARS_1_DDX42_0.5_NOLC1_0.25	CTL1	CTL2	CTL3
P36578	RPL4	11.16039628	10.67008209	11.08993494	11.31978695	10.26184924	11.18711348	11.16086673	10.70615863	11.21978514	11.28124869	11.17631877	11.80042813	11.25913327	10.75557027	11.62619231	10.82104628	10.82335893	9.159219411	11.02933869	11.06156762	11.10680446	10.66400181	10.80767454	11.13989169	11.13144255	10.35581927	11.44902318	10.89919648	11.47324125	10.83010175	10.91028171	10.46405293	11.483407	10.53677038	10.50786278	10.38847022
A0A0G2JIW1;P0DMV8;P0DMV9	HSPA1B;HSPA1A;HSPA1B	11.72229745	12.19477774	11.74839312	11.55136407	11.61027957	11.69920671	10.59760088	11.42200866	11.75456257	11.80327658	11.46013682	11.26606742	11.3818939	11.6971356	11.45365293	12.05361248	11.91488486	10.82764134	11.37566783	10.46911094	12.44616932	11.19628278	12.38661294	11.06658168	10.92600796	10.15373206	10.55163136	11.27748372	10.97250448	11.10707689	11.01594383	11.2852421	11.09758339	11.22746973	11.27685602	11.59459776
P08559	PDHA1	8.711478276	9.301542827	8.690644432	8.093068574	9.402799306	9.962751001	9.632741352	9.57636234	10.37066774	8.836100083	10.42797699	9.277897594	9.468590868	8.965543497	9.282141157	9.654487209	9.710577142	9.413095474	9.630495489	11.52532979	9.535851372	9.545100301	10.65606611	9.29986256	10.25111015	8.679763352	12.70246739	9.611349351	9.95301513	10.89362373	9.608791202	9.622215796	9.369183233	10.07140574	9.968973843	10.14674745
A0A0C4DGB6;P02768	ALB	12.79773803	13.29299221	13.1520868	12.48970824	12.71415521	12.74683926	12.41413419	13.87521586	13.07220775	13.13502517	12.31572891	12.80426713	13.08436288	13.35671217	12.24470071	11.93805763	11.87042985	11.31099313	9.80043881	10.39690682	10.63142032	10.24653603	9.678800491	10.34999913	10.83389732	10.34408232	10.51737112	11.14559727	10.18972518	10.51756689	9.396217559	9.567013524	9.974275259	10.51648761	10.5901933	10.76902853
P46821	MAP1B	9.788556883	16.08575164	9.505869866	11.43284223	9.426383647	9.773001319	9.805424568	10.53198451	10.56411854	10.07603448	10.48370063	9.77118741	11.25100124	9.889384377	9.463560646	9.714887013	10.24179026	10.39806788	10.84543506	14.44501493	8.866323031	11.33988167	9.215935472	9.119093223	10.81946686	8.704846633	10.70770431	8.402679009	9.250158616	9.824226261	9.629140326	7.828243916	9.740519583	8.985443773	9.187236042	8.67816505
Q08211	DHX9	9.439245623	10.25380239	9.813008011	10.43721251	9.693101373	9.994416241	9.702399257	10.64381332	10.15703334	10.72650592	9.442444054	10.14122614	11.81802871	9.70464941	9.829560393	10.18208238	10.25009294	9.740047948	11.41687078	11.22354514	11.4301048	11.53602824	11.0991509	11.47726262	10.55380524	11.88815	10.76272116	12.21385252	10.78036762	10.65852361	12.41538264	11.07048946	11.46043585	10.61265145	10.64416875	10.49953704
B8ZZA1;B8ZZQ6;B8ZZW7;H7C2N1;P06454	PTMA	6.811482264	7.327183533	7.530033315	7.567909333	7.779305625	8.173346925	7.038337622	8.110085516	6.957601812	8.007578522	5.709462789	7.401556771	7.867774905	8.575391895	8.468402201	10.11694437	9.930312475	9.736490945	6.394020152	6.933082634	8.280945898	8.26490331	8.114200642	7.914217079	3.928531488	5.773208367	6.566362904	8.59396445	6.825773986	8.120488447	7.724707925	8.055456785	7.655622966	8.963697816	8.983367873	9.473957414
Q9Y2A7	NCKAP1	8.837794171	8.941380906	9.140021824	8.604960986	8.711779407	9.720853037	8.951104415	9.829048979	8.812622973	10.33323994	8.820074203	9.562901117	9.129152072	9.084715252	8.634741897	8.535191757	8.732616465	7.739971635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P35232	PHB	9.68969754	8.909250831	9.889116125	9.21220778	10.14011679	9.946704043	9.149523171	9.999144792	9.836330028	9.941611831	9.636431022	9.342600988	10.0703419	9.939214149	9.539242996	10.7241499	10.80692592	10.96074924	10.0857789	8.519180895	9.653426348	9.517114005	9.644064022	9.416087965	8.812454467	8.062839876	8.923191964	9.49735097	9.319358881	9.501091336	9.731130196	9.530383608	9.382092418	9.820925321	9.762923585	9.850775154
P56192	MARS	12.60762893	8.200858114	10.17761313	10.2528313	12.02626644	14.22497053	14.2172513	10.93789059	12.17209563	9.962365887	14.78842659	11.26839662	11.6777293	10.37580176	13.46398357	9.974667691	9.663204504	10.43786963	12.07010832	9.44141636	10.00431228	10.12059201	10.92217879	13.5883842	13.82452726	9.483272571	11.24787811	9.483546264	14.42645142	10.83065193	10.67180529	10.11862176	12.69119719	9.753263974	9.85738559	9.671500629
