Protein.IDs	Gene.names	Mix2_RBFOX2_2.5_G3BP2_1_PRPF8_0.5_DDX42_0.25_NOLC1_0.125	Mix3_NUP35_2.5_MCM2_1_AATF_0.5_YTHDC1_0.25_YTHDF1_0.125	Mix4_G3BP2_2.5_RUVBL2_1_RPS5_0.5_NUP35_0.25_RBFOX2_0.125	Mix5_MCM2_2.5_DLD_1_KARS_0.5_PRPF8_0.25_AATF_0.125	Mix6_DDX42_2.5_EPRS_1_NOLC1_0.5_YTHDF1_0.25_YTHDC1_0.125	Mix7_KARS_2.5_NOLC1_1_RUVBL2_0.5_AATF_0.25_G3BP2_0.125	Mix8_YTHDC1_2.5_PRPF8_1_NUP35_0.5_EPRS_0.25_RPS5_0.125	Mix9_DLD_2.5_YTHDF1_1_RBFOX2_0.5_MCM2_0.25_DDX42_0.125	Mix10_PRPF8_2.5_DDX42_1_MCM2_0.5_RUVBL2_0.25_NUP35_0.125	Mix11_EPRS_2.5_RBFOX2_1_YTHDC1_0.5_RPS5_0.25_DLD_0.125	Mix12_NOLC1_2.5_AATF_1_YTHDF1_0.5_G3BP2_0.25_KARS_0.125	Mix13_RPS5_2.5_YTHDC1_1_G3BP2_0.5_RBFOX2_0.25_MCM2_0.125	Mix14_AATF_2.5_NUP35_1_EPRS_0.5_DLD_0.25_PRPF8_0.125	Mix15_YTHDF1_2.5_KARS_1_DDX42_0.5_NOLC1_0.25_RUVBL2_0.125	Mix1_RUVBL2_2.5_RPS5_1_DLD_0.5_KARS_0.25_EPRS_0.125
Q86U42	PABPN1	20.3062474139544	19.2043502433153	20.4279366280472	17.7793921497035	18.5455425808964	18.5588993547315	21.3650213473667	18.1741839032167	17.9203764674424	20.9284565681872	19.1886108178195	21.5495452133485	20.6529214531337	20.2995986506781	16.764185914481
O14654	IRS4	20.6914179233924	20.0751223801433	20.3519405856106	20.1139753502141	20.1350962609561	19.0103065468094	20.1581497252859	19.9174287541702	19.9163434622151	20.3456934918295	20.7467785238021	19.8407189244999	19.9954878312919	20.4697569673756	NA
P36578	RPL4	25.5050917024301	24.2500439899246	25.2652123044241	24.5486988729319	24.8870607219471	22.739268254299	25.612158624295	26.102170096206	24.8549944220935	25.0746342993482	25.92383153784	25.3756892550725	25.1939076465202	26.3153396388915	22.8018123440693
Q96P70	IPO9	20.2879226821072	19.4005617776475	19.7550714277949	20.0186574155481	18.8769701156815	NA	19.8471662587984	19.7918325880487	NA	20.1366289614657	18.2500028231787	20.4240614904502	19.8926210033978	19.1418645346848	16.9220121307566
P28482	MAPK1	18.5052951944935	16.9858606108198	20.5001375584168	19.9841130621116	17.6261405026892	16.3514615599103	19.760139939983	17.0508784200016	18.8818592952129	20.4233630846339	18.7518758109899	19.2120472304748	19.6891106488357	19.9480583853111	11.150941230022
Q9NR33	POLE4	17.9645924419794	16.0735652483181	17.7467226041217	15.7936120467018	NA	NA	22.2857449439833	17.6965467014434	15.9989576673509	NA	NA	18.051924969163	NA	17.3327288219986	NA
O00410	IPO5	20.1990338938391	19.4740345305194	21.417728150983	21.3566562490039	19.9211432992735	19.9459894248733	21.4579476773345	20.1681684559387	17.4740872663903	21.0891376353344	20.5573280424261	21.8509824533128	21.2636507746239	20.8230161431519	18.6523513423641
Q9Y2Z0	SUGT1	12.130226160304	18.2367455970036	19.352947414001	18.8581822932997	NA	NA	16.7111598549955	NA	NA	19.2371113239793	NA	18.2456023760302	18.4778647289328	17.5126488102458	NA
Q7L5D6	GET4	17.8470362356547	17.4716775955989	17.8206149641683	18.1878672018342	NA	NA	17.722458686526	NA	NA	18.9118085938941	16.1685187609622	17.1129597956278	17.621322020032	17.7402869933297	NA
P27361	MAPK3	17.4888095210654	18.4698347953165	19.2749910373897	19.7793044847703	18.3555138722499	16.4181156469532	11.7931284828828	17.7135383540365	16.2198030396411	18.7835554172313	17.9494186043827	19.2184475885443	18.7714798942304	17.9028816341589	NA
