PG.ProteinGroups	PG.Genes	[1] 20250620_BB_LS_DIA_Pooled_IP_15x30_1.raw.PG.NrOfPrecursorsIdentified	[2] 20250620_BB_LS_DIA_Pooled_IP_15x30_2.raw.PG.NrOfPrecursorsIdentified	[3] 20250620_BB_LS_DIA_Pooled_IP_15x30_3.raw.PG.NrOfPrecursorsIdentified	[4] 20250620_BB_LS_DIA_Pooled_IP_15x30_4.raw.PG.NrOfPrecursorsIdentified	[5] 20250620_BB_LS_DIA_Pooled_IP_15x30_5.raw.PG.NrOfPrecursorsIdentified	[6] 20250620_BB_LS_DIA_Pooled_IP_15x30_6.raw.PG.NrOfPrecursorsIdentified	[7] 20250620_BB_LS_DIA_Pooled_IP_15x30_7.raw.PG.NrOfPrecursorsIdentified	[8] 20250620_BB_LS_DIA_Pooled_IP_15x30_8.raw.PG.NrOfPrecursorsIdentified	[9] 20250620_BB_LS_DIA_Pooled_IP_15x30_9.raw.PG.NrOfPrecursorsIdentified	[10] 20250620_BB_LS_DIA_Pooled_IP_15x30_10.raw.PG.NrOfPrecursorsIdentified	[11] 20250620_BB_LS_DIA_Pooled_IP_15x30_11.raw.PG.NrOfPrecursorsIdentified	[12] 20250620_BB_LS_DIA_Pooled_IP_15x30_12.raw.PG.NrOfPrecursorsIdentified	[13] 20250620_BB_LS_DIA_Pooled_IP_15x30_13.raw.PG.NrOfPrecursorsIdentified	[14] 20250620_BB_LS_DIA_Pooled_IP_15x30_14.raw.PG.NrOfPrecursorsIdentified	[15] 20250620_BB_LS_DIA_Pooled_IP_15x30_15.raw.PG.NrOfPrecursorsIdentified	[1] 20250620_BB_LS_DIA_Pooled_IP_15x30_1.raw.PG.Quantity	[2] 20250620_BB_LS_DIA_Pooled_IP_15x30_2.raw.PG.Quantity	[3] 20250620_BB_LS_DIA_Pooled_IP_15x30_3.raw.PG.Quantity	[4] 20250620_BB_LS_DIA_Pooled_IP_15x30_4.raw.PG.Quantity	[5] 20250620_BB_LS_DIA_Pooled_IP_15x30_5.raw.PG.Quantity	[6] 20250620_BB_LS_DIA_Pooled_IP_15x30_6.raw.PG.Quantity	[7] 20250620_BB_LS_DIA_Pooled_IP_15x30_7.raw.PG.Quantity	[8] 20250620_BB_LS_DIA_Pooled_IP_15x30_8.raw.PG.Quantity	[9] 20250620_BB_LS_DIA_Pooled_IP_15x30_9.raw.PG.Quantity	[10] 20250620_BB_LS_DIA_Pooled_IP_15x30_10.raw.PG.Quantity	[11] 20250620_BB_LS_DIA_Pooled_IP_15x30_11.raw.PG.Quantity	[12] 20250620_BB_LS_DIA_Pooled_IP_15x30_12.raw.PG.Quantity	[13] 20250620_BB_LS_DIA_Pooled_IP_15x30_13.raw.PG.Quantity	[14] 20250620_BB_LS_DIA_Pooled_IP_15x30_14.raw.PG.Quantity	[15] 20250620_BB_LS_DIA_Pooled_IP_15x30_15.raw.PG.Quantity	[1] 20250620_BB_LS_DIA_Pooled_IP_15x30_1.raw.PG.IBAQ	[2] 20250620_BB_LS_DIA_Pooled_IP_15x30_2.raw.PG.IBAQ	[3] 20250620_BB_LS_DIA_Pooled_IP_15x30_3.raw.PG.IBAQ	[4] 20250620_BB_LS_DIA_Pooled_IP_15x30_4.raw.PG.IBAQ	[5] 20250620_BB_LS_DIA_Pooled_IP_15x30_5.raw.PG.IBAQ	[6] 20250620_BB_LS_DIA_Pooled_IP_15x30_6.raw.PG.IBAQ	[7] 20250620_BB_LS_DIA_Pooled_IP_15x30_7.raw.PG.IBAQ	[8] 20250620_BB_LS_DIA_Pooled_IP_15x30_8.raw.PG.IBAQ	[9] 20250620_BB_LS_DIA_Pooled_IP_15x30_9.raw.PG.IBAQ	[10] 20250620_BB_LS_DIA_Pooled_IP_15x30_10.raw.PG.IBAQ	[11] 20250620_BB_LS_DIA_Pooled_IP_15x30_11.raw.PG.IBAQ	[12] 20250620_BB_LS_DIA_Pooled_IP_15x30_12.raw.PG.IBAQ	[13] 20250620_BB_LS_DIA_Pooled_IP_15x30_13.raw.PG.IBAQ	[14] 20250620_BB_LS_DIA_Pooled_IP_15x30_14.raw.PG.IBAQ	[15] 20250620_BB_LS_DIA_Pooled_IP_15x30_15.raw.PG.IBAQ
A0A075B6H7;A0A0C4DH55;A0A0C4DH90;P01624	IGKV3-7;IGKV3D-7;IGKV3OR2-268;IGKV3-15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13251.41796875	53105.5625	35699.0390625	47188.5390625	63676.4921875	38950.2734375	29005.453125	29965.056640625	28846.18359375	27364.84765625	17748.48046875	9299.013671875	46670.59375	37075.109375	24324.271484375	1893.1;2650.3;2208.6;2208.6	7586.5;10621.1;8850.9;8850.9	5099.9;7139.8;5949.8;5949.8	6741.2;9437.7;7864.8;7864.8	9096.6;12735.3;10612.7;10612.7	5564.3;7790.1;6491.7;6491.7	4143.6;5801.1;4834.2;4834.2	4280.7;5993;4994.2;4994.2	4120.9;5769.2;4807.7;4807.7	3909.3;5473;4560.8;4560.8	2535.5;3549.7;2958.1;2958.1	1328.4;1859.8;1549.8;1549.8	6667.2;9334.1;7778.4;7778.4	5296.4;7415;6179.2;6179.2	3474.9;4864.9;4054;4054
A0A075B6K5;P80748	IGLV3-9;IGLV3-21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4229.4580078125	5766.82470703125	2564.4921875	6308.818359375	3509.900146484375	2073.6982421875	2622.52978515625	3359.20458984375	2867.797607421875	2643.9638671875	3548.0380859375	1828.5606689453125	2786.845703125	3049.718994140625	3506.774169921875	528.7;528.7	720.9;720.9	320.6;320.6	788.6;788.6	438.7;438.7	259.2;259.2	327.8;327.8	419.9;419.9	358.5;358.5	330.5;330.5	443.5;443.5	228.6;228.6	348.4;348.4	381.2;381.2	438.3;438.3
A0A075B6Q5;A0A075B7F0;A0A075B7F1;A0A0A0MS15;A0A0B4J1V0;A0A0B4J1V1;A0A0B4J1V6;A0A0B4J1X5;A0A0B4J1X8;A0A0B4J1Y9;A0A0B4J2B5;A0A0C4DH32;A0A0C4DH36;A0A0C4DH42;A0A0J9YX35;A0A0J9YY99;A0AAG2SVT6;A0AAG2SXZ4;P01762;P01763;P01764;P01766;P01767;P01768;P01772;P01780;P01782;P0DP02;P0DP03;P0DP04;P0DTE1;S4R3C0	IGHV3-64;IGHV3OR16-10;IGHV3OR16-8;IGHV3-49;IGHV3-15;IGHV3-21;IGHV3-73;IGHV3-74;IGHV3-43;IGHV3-72;IGHV3OR16-9;IGHV3-20;IGHV3-38;IGHV3-66;IGHV3-64D;;;;IGHV3-11;IGHV3-48;IGHV3-23;IGHV3-13;IGHV3-53;IGHV3-30;IGHV3-33;IGHV3-7;IGHV3-9;IGHV3-30-3;IGHV3-30-5;IGHV3-43D;IGHV3-38-3;IGHV3OR16-17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26921.0546875	29435.82421875	41886.68359375	56138.6484375	30339.38671875	22152.82421875	39681.9296875	43120.92578125	19176.76953125	22375.76171875	11781.07421875	14872.2724609375	25435.515625	25922.4921875	25733.328125	3845.9;3845.9;3845.9;3365.1;3365.1;5384.2;3365.1;3365.1;3845.9;3845.9;5384.2;3845.9;3845.9;3845.9;3845.9;3365.1;5384.2;5384.2;3845.9;4486.8;3845.9;4486.8;3845.9;3365.1;3365.1;3845.9;3845.9;3365.1;3365.1;3845.9;3365.1;3845.9	4205.1;4205.1;4205.1;3679.5;3679.5;5887.2;3679.5;3679.5;4205.1;4205.1;5887.2;4205.1;4205.1;4205.1;4205.1;3679.5;5887.2;5887.2;4205.1;4906;4205.1;4906;4205.1;3679.5;3679.5;4205.1;4205.1;3679.5;3679.5;4205.1;3679.5;4205.1	5983.8;5983.8;5983.8;5235.8;5235.8;8377.3;5235.8;5235.8;5983.8;5983.8;8377.3;5983.8;5983.8;5983.8;5983.8;5235.8;8377.3;8377.3;5983.8;6981.1;5983.8;6981.1;5983.8;5235.8;5235.8;5983.8;5983.8;5235.8;5235.8;5983.8;5235.8;5983.8	8019.8;8019.8;8019.8;7017.3;7017.3;11227.7;7017.3;7017.3;8019.8;8019.8;11227.7;8019.8;8019.8;8019.8;8019.8;7017.3;11227.7;11227.7;8019.8;9356.4;8019.8;9356.4;8019.8;7017.3;7017.3;8019.8;8019.8;7017.3;7017.3;8019.8;7017.3;8019.8	4334.2;4334.2;4334.2;3792.4;3792.4;6067.9;3792.4;3792.4;4334.2;4334.2;6067.9;4334.2;4334.2;4334.2;4334.2;3792.4;6067.9;6067.9;4334.2;5056.6;4334.2;5056.6;4334.2;3792.4;3792.4;4334.2;4334.2;3792.4;3792.4;4334.2;3792.4;4334.2	3164.7;3164.7;3164.7;2769.1;2769.1;4430.6;2769.1;2769.1;3164.7;3164.7;4430.6;3164.7;3164.7;3164.7;3164.7;2769.1;4430.6;4430.6;3164.7;3692.1;3164.7;3692.1;3164.7;2769.1;2769.1;3164.7;3164.7;2769.1;2769.1;3164.7;2769.1;3164.7	5668.8;5668.8;5668.8;4960.2;4960.2;7936.4;4960.2;4960.2;5668.8;5668.8;7936.4;5668.8;5668.8;5668.8;5668.8;4960.2;7936.4;7936.4;5668.8;6613.7;5668.8;6613.7;5668.8;4960.2;4960.2;5668.8;5668.8;4960.2;4960.2;5668.8;4960.2;5668.8	6160.1;6160.1;6160.1;5390.1;5390.1;8624.2;5390.1;5390.1;6160.1;6160.1;8624.2;6160.1;6160.1;6160.1;6160.1;5390.1;8624.2;8624.2;6160.1;7186.8;6160.1;7186.8;6160.1;5390.1;5390.1;6160.1;6160.1;5390.1;5390.1;6160.1;5390.1;6160.1	2739.5;2739.5;2739.5;2397.1;2397.1;3835.4;2397.1;2397.1;2739.5;2739.5;3835.4;2739.5;2739.5;2739.5;2739.5;2397.1;3835.4;3835.4;2739.5;3196.1;2739.5;3196.1;2739.5;2397.1;2397.1;2739.5;2739.5;2397.1;2397.1;2739.5;2397.1;2739.5	3196.5;3196.5;3196.5;2797;2797;4475.2;2797;2797;3196.5;3196.5;4475.2;3196.5;3196.5;3196.5;3196.5;2797;4475.2;4475.2;3196.5;3729.3;3196.5;3729.3;3196.5;2797;2797;3196.5;3196.5;2797;2797;3196.5;2797;3196.5	1683;1683;1683;1472.6;1472.6;2356.2;1472.6;1472.6;1683;1683;2356.2;1683;1683;1683;1683;1472.6;2356.2;2356.2;1683;1963.5;1683;1963.5;1683;1472.6;1472.6;1683;1683;1472.6;1472.6;1683;1472.6;1683	2124.6;2124.6;2124.6;1859;1859;2974.5;1859;1859;2124.6;2124.6;2974.5;2124.6;2124.6;2124.6;2124.6;1859;2974.5;2974.5;2124.6;2478.7;2124.6;2478.7;2124.6;1859;1859;2124.6;2124.6;1859;1859;2124.6;1859;2124.6	3633.6;3633.6;3633.6;3179.4;3179.4;5087.1;3179.4;3179.4;3633.6;3633.6;5087.1;3633.6;3633.6;3633.6;3633.6;3179.4;5087.1;5087.1;3633.6;4239.3;3633.6;4239.3;3633.6;3179.4;3179.4;3633.6;3633.6;3179.4;3179.4;3633.6;3179.4;3633.6	3703.2;3703.2;3703.2;3240.3;3240.3;5184.5;3240.3;3240.3;3703.2;3703.2;5184.5;3703.2;3703.2;3703.2;3703.2;3240.3;5184.5;5184.5;3703.2;4320.4;3703.2;4320.4;3703.2;3240.3;3240.3;3703.2;3703.2;3240.3;3240.3;3703.2;3240.3;3703.2	3676.2;3676.2;3676.2;3216.7;3216.7;5146.7;3216.7;3216.7;3676.2;3676.2;5146.7;3676.2;3676.2;3676.2;3676.2;3216.7;5146.7;5146.7;3676.2;4288.9;3676.2;4288.9;3676.2;3216.7;3216.7;3676.2;3676.2;3216.7;3216.7;3676.2;3216.7;3676.2
A0A075B6R9	IGKV2D-24	2	0	1	0	0	1	0	0	3	3	0	0	3	2	0	7082.51025390625	NaN	14855.6103515625	NaN	NaN	130303.3671875	NaN	NaN	20471.859375	9332.9853515625	NaN	NaN	23574.00390625	10738.4521484375	NaN	4045.1	NaN	1665.1	NaN	NaN	67411.898	NaN	NaN	11457.5	8559.3	NaN	NaN	15927.5	5942.2	NaN
A0A075B6S2;A0A0A0MRZ7;A2NJV5	IGKV2D-29;IGKV2D-26;IGKV2-29	4	2	0	1	0	0	0	0	5	5	1	0	5	4	0	201956.4375	3491.283935546875	NaN	2925.523193359375	NaN	NaN	NaN	NaN	378640.1875	373644.125	3020.37890625	NaN	756681.1875	218667	NaN	87984.297;102648.398;87984.297	1294.3;1510;1294.3	NaN	285.8;333.4;285.8	NaN	NaN	NaN	NaN	161645.297;188586.203;161645.297	175019;204188.906;175019	295.1;344.2;295.1	NaN	314209.094;366577.188;314209.094	93984.5;109648.602;93984.5	NaN
A0A075B6S5;A0A0C4DH67;A0A0C4DH69	IGKV1-27;IGKV1-8;IGKV1-9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25217.177734375	30646.87109375	23155.943359375	33250.015625	25953.888671875	37665.47265625	49965.17578125	17052.80078125	45738.90625	10035.85546875	32773.53515625	21955.9140625	16427.890625	48182.59375	35452.2109375	5043.4;5043.4;5043.4	6129.4;6129.4;6129.4	4631.2;4631.2;4631.2	6650;6650;6650	5190.8;5190.8;5190.8	7533.1;7533.1;7533.1	9993;9993;9993	3410.6;3410.6;3410.6	9147.8;9147.8;9147.8	2007.2;2007.2;2007.2	6554.7;6554.7;6554.7	4391.2;4391.2;4391.2	3285.6;3285.6;3285.6	9636.5;9636.5;9636.5	7090.4;7090.4;7090.4
A0A0A0MRZ8;P04433	IGKV3D-11;IGKV3-11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	27615.052734375	30902.205078125	21020.69140625	28849.86328125	25507.009765625	22184.43359375	13627.1796875	25044.935546875	20452.541015625	17891.3203125	24470.8125	19984.880859375	23237.412109375	19919.2890625	27972.41015625	4602.5;4602.5	5150.4;5150.4	3503.4;3503.4	4808.3;4808.3	4251.2;4251.2	3697.4;3697.4	2271.2;2271.2	4174.2;4174.2	3408.8;3408.8	2981.9;2981.9	4078.5;4078.5	3330.8;3330.8	3872.9;3872.9	3319.9;3319.9	4662.1;4662.1
A0A0B4J2D5;P0DPI2	GATD3B;GATD3	3	3	2	1	3	4	1	2	2	2	1	2	3	2	1	6369.9365234375	12798.0673828125	5152.36962890625	4369.7021484375	22302.791015625	18282.671875	28808.3515625	4506.87109375	2197.5537109375	6021.81787109375	1763.4622802734375	4949.39990234375	20471.06640625	8190.0322265625	12408.935546875	963.2;963.2	1938.1;1938.1	818.9;818.9	384.8;384.8	3633.7;3633.7	3120.9;3120.9	2536.6;2536.6	709.5;709.5	319.7;319.7	849.3;849.3	155.3;155.3	772;772	3799.1;3799.1	1365;1365	1092.6;1092.6
A0A0C4DH25	IGKV3D-20	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	6910.1875	6823.029296875	NaN	7864.6669921875	NaN	5059.95947265625	NaN	5843.072265625	3861.68408203125	5400.70556640625	8365.763671875	2601.2626953125	6129.5234375	6145.7060546875	7731.0537109375	987.2	974.7	NaN	1123.5	NaN	722.9	NaN	834.7	551.7	771.5	1195.1	371.6	875.6	878	1104.4
A0A0G2JRQ6		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2478.40869140625	6081.1123046875	30113.671875	18758.3046875	8673.490234375	13947.4140625	871.65380859375	4981.2587890625	3740.157958984375	3594.6298828125	2023.0450439453125	5875.2744140625	8894.8427734375	22587.55859375	25011.353515625	413.1	1013.5	5018.9	3126.4	1445.6	2324.6	145.3	830.2	623.4	599.1	337.2	979.2	1482.5	3764.6	4168.6
