PG.ProteinGroups	PG.Genes	PG.ProteinNames	[1] 20250502_YM_LS_Pooled_Lysates_IP01.raw.PG.NrOfPrecursorsIdentified	[2] 20250502_YM_LS_Pooled_Lysates_IP02.raw.PG.NrOfPrecursorsIdentified	[3] 20250502_YM_LS_Pooled_Lysates_IP03.raw.PG.NrOfPrecursorsIdentified	[4] 20250502_YM_LS_Pooled_Lysates_IP04.raw.PG.NrOfPrecursorsIdentified	[5] 20250502_YM_LS_Pooled_Lysates_IP05.raw.PG.NrOfPrecursorsIdentified	[6] 20250502_YM_LS_Pooled_Lysates_IP06.raw.PG.NrOfPrecursorsIdentified	[7] 20250502_YM_LS_Pooled_Lysates_IP07.raw.PG.NrOfPrecursorsIdentified	[8] 20250502_YM_LS_Pooled_Lysates_IP08.raw.PG.NrOfPrecursorsIdentified	[9] 20250502_YM_LS_Pooled_Lysates_IP09.raw.PG.NrOfPrecursorsIdentified	[10] 20250502_YM_LS_Pooled_Lysates_IP10.raw.PG.NrOfPrecursorsIdentified	[11] 20250502_YM_LS_Pooled_Lysates_IP11.raw.PG.NrOfPrecursorsIdentified	[12] 20250502_YM_LS_Pooled_Lysates_IP12.raw.PG.NrOfPrecursorsIdentified	[13] 20250502_YM_LS_Pooled_Lysates_IP13.raw.PG.NrOfPrecursorsIdentified	[14] 20250502_YM_LS_Pooled_Lysates_IP14.raw.PG.NrOfPrecursorsIdentified	[15] 20250502_YM_LS_Pooled_Lysates_IP15.raw.PG.NrOfPrecursorsIdentified	[1] 20250502_YM_LS_Pooled_Lysates_IP01.raw.PG.Quantity	[2] 20250502_YM_LS_Pooled_Lysates_IP02.raw.PG.Quantity	[3] 20250502_YM_LS_Pooled_Lysates_IP03.raw.PG.Quantity	[4] 20250502_YM_LS_Pooled_Lysates_IP04.raw.PG.Quantity	[5] 20250502_YM_LS_Pooled_Lysates_IP05.raw.PG.Quantity	[6] 20250502_YM_LS_Pooled_Lysates_IP06.raw.PG.Quantity	[7] 20250502_YM_LS_Pooled_Lysates_IP07.raw.PG.Quantity	[8] 20250502_YM_LS_Pooled_Lysates_IP08.raw.PG.Quantity	[9] 20250502_YM_LS_Pooled_Lysates_IP09.raw.PG.Quantity	[10] 20250502_YM_LS_Pooled_Lysates_IP10.raw.PG.Quantity	[11] 20250502_YM_LS_Pooled_Lysates_IP11.raw.PG.Quantity	[12] 20250502_YM_LS_Pooled_Lysates_IP12.raw.PG.Quantity	[13] 20250502_YM_LS_Pooled_Lysates_IP13.raw.PG.Quantity	[14] 20250502_YM_LS_Pooled_Lysates_IP14.raw.PG.Quantity	[15] 20250502_YM_LS_Pooled_Lysates_IP15.raw.PG.Quantity	[1] 20250502_YM_LS_Pooled_Lysates_IP01.raw.PG.IBAQ	[2] 20250502_YM_LS_Pooled_Lysates_IP02.raw.PG.IBAQ	[3] 20250502_YM_LS_Pooled_Lysates_IP03.raw.PG.IBAQ	[4] 20250502_YM_LS_Pooled_Lysates_IP04.raw.PG.IBAQ	[5] 20250502_YM_LS_Pooled_Lysates_IP05.raw.PG.IBAQ	[6] 20250502_YM_LS_Pooled_Lysates_IP06.raw.PG.IBAQ	[7] 20250502_YM_LS_Pooled_Lysates_IP07.raw.PG.IBAQ	[8] 20250502_YM_LS_Pooled_Lysates_IP08.raw.PG.IBAQ	[9] 20250502_YM_LS_Pooled_Lysates_IP09.raw.PG.IBAQ	[10] 20250502_YM_LS_Pooled_Lysates_IP10.raw.PG.IBAQ	[11] 20250502_YM_LS_Pooled_Lysates_IP11.raw.PG.IBAQ	[12] 20250502_YM_LS_Pooled_Lysates_IP12.raw.PG.IBAQ	[13] 20250502_YM_LS_Pooled_Lysates_IP13.raw.PG.IBAQ	[14] 20250502_YM_LS_Pooled_Lysates_IP14.raw.PG.IBAQ	[15] 20250502_YM_LS_Pooled_Lysates_IP15.raw.PG.IBAQ
A5Z2X5	YPR010C-A	YP010_YEAST	2	2	2	3	2	2	2	2	2	2	2	3	3	3	2	667899.8125	740288.1875	383313.90625	660083.625	646220.9375	948027.625	603683.625	984587.9375	625576.8125	730208.375	870761.25	688842.9375	958242.25	618325	537161.875	445266.5	480459.3	272187.9	444659.4	438177.5	626718.5	375383.7	638406.9	439103.6	494206.7	572108.1	473064.2	673805.6	404909.4	346754.7
O13516	RPS9A	RS9A_YEAST	41	41	43	42	44	45	42	38	43	41	42	41	43	45	45	5341437.5	5898057	6040384	5192877.5	6615406	5045482	5976751.5	4559750	5314933	5377588.5	5001361.5	5693229.5	5358166.5	6155845.5	6736481	5983466.1	7600583.9	6356255.6	5556728.2	8697326.5	5448346.9	7516171.6	5782004.4	6778469.6	6336108.5	5968011.6	6554172.8	6101260.5	6757878.8	7273879.3
O13563	RPN13	RPN13_YEAST	4	3	4	3	3	3	3	3	3	4	3	3	3	3	4	114280.375	126382.8359375	128161.953125	110517.703125	105237.6484375	113831.328125	134912.4375	138830.875	136708.359375	133872.640625	114813.8359375	115309.8984375	102513.3671875	101381.96875	98490.4296875	32034.3	36163.8	38006	29401.4	32645.3	30021.9	44865	40032.3	39473.3	38148.8	30711.5	30658.8	29251.7	28019.9	28378.3
O13585	YPR089W	YP089_YEAST	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	11068.8583984375	NaN	NaN	NaN	18885.9375	NaN	20657.248046875	NaN	9604.193359375	9978.689453125	3980.34130859375	7734.66796875	NaN	44152.29296875	10792.77734375	263.5	NaN	NaN	229	449.7	416.8	491.8	NaN	228.7	237.6	94.8	184.2	NaN	1051.2	257
O14455	RPL36B	RL36B_YEAST	16	15	16	16	14	16	15	16	14	16	15	15	16	16	16	2679897	3558934.5	2440782.5	2606779	3204977	2572489.25	2644324	2540056.5	2813499.25	2940634.5	2906757.5	3014175	3081753.25	2970435	3104530	7968725.9	11105504.7	6890786	7749684.9	10402726.5	7446903.9	8172716.3	7777434	8579234.3	8917977.5	8412021.2	8982586	9239879	8496229.8	8606113
O14464	RTC6	RTC6_YEAST	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	NaN	26865.974609375	37365.23828125	41525.10546875	46130.86328125	21086.7421875	18162.755859375	NaN	NaN	15777.4140625	16539.6171875	13010.0810546875	NaN	37760.40234375	26294.580078125	8397.7	6716.5	9341.3	10381.3	11532.7	5271.7	4540.7	NaN	0	3944.4	4134.9	3252.5	9287.7	9440.1	6573.6
O14467	MBF1	MBF1_YEAST	13	12	11	13	12	13	12	12	12	13	13	13	13	12	12	484743.59375	442622	137142.40625	340690	282280.53125	444592.4375	225397.203125	394044.375	525421.125	617786.125	719216.75	551043.0625	529278.625	264510.8125	268887.375	286052.4	262201.1	81824.5	200208.8	172826.1	264020.9	136898.7	237774	312629	353713.4	424188.1	325550.1	309227.2	156578.2	161956.2
O43137	YBR085C-A	YB085_YEAST	1	1	0	0	0	1	0	1	1	0	1	0	1	0	0	NaN	6957.58203125	NaN	NaN	NaN	33545.77734375	NaN	NaN	NaN	NaN	32996.0234375	NaN	47977.91015625	NaN	NaN	0	1159.6	NaN	NaN	NaN	5591	NaN	6324	5613.9	NaN	5499.3	NaN	7996.3	NaN	NaN
O60200	MDM35	MDM35_YEAST	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	20788.990234375	25172.705078125	6516.59521484375	21443.828125	21049.71875	35153.14453125	16024.9365234375	39420.54296875	24975.44140625	28716.041015625	38244.89453125	32185.431640625	32302.998046875	16453.349609375	13054.75390625	5982.8	7351.9	917.3	6159.5	6031.9	10084.3	4580.2	11384.9	7135.8	8395.7	10926.6	9246.9	9491.7	4762.7	3817.1
O74700	TIM9	TIM9_YEAST	5	4	5	5	4	5	4	5	5	5	5	5	5	5	4	176915.765625	255700.328125	83367.5703125	187654.3125	208612.375	305053.5	138923.390625	257410.375	236520.03125	372055.375	350438.75	381559.96875	287873.40625	209542.828125	189195.578125	139616	164400.8	81522.4	107216.6	190122.5	151465.3	123441.2	167808.5	151431.9	185768.5	174981.3	206050.3	174491.5	127588	122092.9
