PG.ProteinGroups	PG.Genes	PG.ProteinNames	[1] 20250502_YM_LS_Pooled_Lysates_IP01.raw.PG.NrOfPrecursorsIdentified	[2] 20250502_YM_LS_Pooled_Lysates_IP02.raw.PG.NrOfPrecursorsIdentified	[3] 20250502_YM_LS_Pooled_Lysates_IP03.raw.PG.NrOfPrecursorsIdentified	[4] 20250502_YM_LS_Pooled_Lysates_IP04.raw.PG.NrOfPrecursorsIdentified	[5] 20250502_YM_LS_Pooled_Lysates_IP05.raw.PG.NrOfPrecursorsIdentified	[6] 20250502_YM_LS_Pooled_Lysates_IP06.raw.PG.NrOfPrecursorsIdentified	[7] 20250502_YM_LS_Pooled_Lysates_IP07.raw.PG.NrOfPrecursorsIdentified	[8] 20250502_YM_LS_Pooled_Lysates_IP08.raw.PG.NrOfPrecursorsIdentified	[9] 20250502_YM_LS_Pooled_Lysates_IP09.raw.PG.NrOfPrecursorsIdentified	[10] 20250502_YM_LS_Pooled_Lysates_IP10.raw.PG.NrOfPrecursorsIdentified	[11] 20250502_YM_LS_Pooled_Lysates_IP11.raw.PG.NrOfPrecursorsIdentified	[12] 20250502_YM_LS_Pooled_Lysates_IP12.raw.PG.NrOfPrecursorsIdentified	[13] 20250502_YM_LS_Pooled_Lysates_IP13.raw.PG.NrOfPrecursorsIdentified	[14] 20250502_YM_LS_Pooled_Lysates_IP14.raw.PG.NrOfPrecursorsIdentified	[15] 20250502_YM_LS_Pooled_Lysates_IP15.raw.PG.NrOfPrecursorsIdentified	[1] 20250502_YM_LS_Pooled_Lysates_IP01.raw.PG.Quantity	[2] 20250502_YM_LS_Pooled_Lysates_IP02.raw.PG.Quantity	[3] 20250502_YM_LS_Pooled_Lysates_IP03.raw.PG.Quantity	[4] 20250502_YM_LS_Pooled_Lysates_IP04.raw.PG.Quantity	[5] 20250502_YM_LS_Pooled_Lysates_IP05.raw.PG.Quantity	[6] 20250502_YM_LS_Pooled_Lysates_IP06.raw.PG.Quantity	[7] 20250502_YM_LS_Pooled_Lysates_IP07.raw.PG.Quantity	[8] 20250502_YM_LS_Pooled_Lysates_IP08.raw.PG.Quantity	[9] 20250502_YM_LS_Pooled_Lysates_IP09.raw.PG.Quantity	[10] 20250502_YM_LS_Pooled_Lysates_IP10.raw.PG.Quantity	[11] 20250502_YM_LS_Pooled_Lysates_IP11.raw.PG.Quantity	[12] 20250502_YM_LS_Pooled_Lysates_IP12.raw.PG.Quantity	[13] 20250502_YM_LS_Pooled_Lysates_IP13.raw.PG.Quantity	[14] 20250502_YM_LS_Pooled_Lysates_IP14.raw.PG.Quantity	[15] 20250502_YM_LS_Pooled_Lysates_IP15.raw.PG.Quantity	[1] 20250502_YM_LS_Pooled_Lysates_IP01.raw.PG.IBAQ	[2] 20250502_YM_LS_Pooled_Lysates_IP02.raw.PG.IBAQ	[3] 20250502_YM_LS_Pooled_Lysates_IP03.raw.PG.IBAQ	[4] 20250502_YM_LS_Pooled_Lysates_IP04.raw.PG.IBAQ	[5] 20250502_YM_LS_Pooled_Lysates_IP05.raw.PG.IBAQ	[6] 20250502_YM_LS_Pooled_Lysates_IP06.raw.PG.IBAQ	[7] 20250502_YM_LS_Pooled_Lysates_IP07.raw.PG.IBAQ	[8] 20250502_YM_LS_Pooled_Lysates_IP08.raw.PG.IBAQ	[9] 20250502_YM_LS_Pooled_Lysates_IP09.raw.PG.IBAQ	[10] 20250502_YM_LS_Pooled_Lysates_IP10.raw.PG.IBAQ	[11] 20250502_YM_LS_Pooled_Lysates_IP11.raw.PG.IBAQ	[12] 20250502_YM_LS_Pooled_Lysates_IP12.raw.PG.IBAQ	[13] 20250502_YM_LS_Pooled_Lysates_IP13.raw.PG.IBAQ	[14] 20250502_YM_LS_Pooled_Lysates_IP14.raw.PG.IBAQ	[15] 20250502_YM_LS_Pooled_Lysates_IP15.raw.PG.IBAQ
A5Z2X5	YPR010C-A	YP010_YEAST	2	2	2	3	2	2	2	2	2	2	2	3	3	3	2	22661.283203125	25118.748046875	10233.904296875	21108.0390625	19317.822265625	29450.802734375	19379.630859375	32724.818359375	18833.208984375	25255.71484375	27522.16015625	24000.458984375	34910.7734375	16622.966796875	16796.509765625	14375.2	15107.5	7582.9	13607.6	13703.4	19181.2	10992.4	21573.7	16228.4	16205.6	16861.7	15456.9	21279	10590.6	9810
O13516	RPS9A	RS9A_YEAST	41	41	43	42	44	45	42	38	43	41	42	41	43	45	45	507730.9375	594668.375	606232.9375	507594.25	658787.9375	499838.21875	609001.1875	473699.65625	549756.4375	557220	524497.25	570486.25	541730.75	620857.4375	667454.25	459719.6	575582	523750.7	435026	640257.2	436665.4	560122.4	431024.5	505400.6	489032.2	439761.8	505518.6	480332.7	549742.6	589314.1
O13563	RPN13	RPN13_YEAST	4	3	4	3	3	3	3	3	3	4	3	3	3	3	4	6975.830078125	8351.1875	8842.0654296875	8460.44140625	5496.59423828125	7521.85205078125	10870.9111328125	9068.068359375	7549.11572265625	10255.556640625	7981.39306640625	6825.146484375	8174.365234375	6245.5185546875	6786.36328125	2008.1	2497.4	2638.3	2058.3	1836.6	2069.1	3165.6	2688.3	2281.2	2840.4	2176.7	1910.7	2205	1783.9	1863.8
O13585	YPR089W	YP089_YEAST	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	432.1210021972656	NaN	NaN	NaN	702.9306640625	NaN	446.255859375	NaN	887.6844482421875	1308.4915771484375	676.3549194335938	342.12371826171875	NaN	1139.7364501953125	808.6533203125	10.3	NaN	NaN	0	16.7	0	10.6	NaN	21.1	31.2	16.1	8.1	NaN	27.1	19.3
O14455	RPL36B	RL36B_YEAST	16	15	16	16	14	16	15	16	14	16	15	15	16	16	16	705708.25	926459.125	635450.75	696374.625	852165.4375	657100.125	653058.8125	687607.3125	736685.875	799926.3125	739172.25	794829.0625	785153.5625	770034.0625	774056.5	857951.5	1156595.3	779305.8	871858.1	1108161.9	821114.1	910666.3	850370.3	940601.8	1022530.2	926784.2	1017944.9	1050459.1	1004877.5	978943.7
O14464	RTC6	RTC6_YEAST	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	NaN	645.5861206054688	640.1006469726562	1253.2813720703125	613.6834716796875	620.0155639648438	594.4596557617188	NaN	NaN	1225.006103515625	1236.356689453125	717.9511108398438	NaN	780.059326171875	457.3600158691406	0	161.4	160	313.3	153.4	155	148.6	NaN	0	306.3	309.1	179.5	0	195	114.3
O14467	MBF1	MBF1_YEAST	13	12	11	13	12	13	12	12	12	13	13	13	13	12	12	48377.83984375	45231.140625	13646.53515625	36997.1640625	35183.8515625	47764.32421875	20924.4296875	41950.265625	59778.546875	71833.609375	75898.671875	60577.15234375	54550.375	29664.951171875	26946.076171875	24755.4	23288.6	9809.1	17883.7	19115.5	23984.9	14549.1	24138	31213.5	34550.7	37032	30335	25073.2	17137.6	15350.9
O43137	YBR085C-A	YB085_YEAST	1	1	0	0	0	1	0	1	1	0	1	0	1	0	0	NaN	1708.666015625	NaN	NaN	NaN	1713.7952880859375	NaN	NaN	NaN	NaN	2215.797607421875	NaN	1375.4847412109375	NaN	NaN	0	284.8	NaN	NaN	NaN	285.6	NaN	0	0	NaN	369.3	NaN	229.2	NaN	NaN
O60200	MDM35	MDM35_YEAST	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1220.19677734375	516.2808837890625	3260.3701171875	2230.549072265625	2341.49267578125	2403.109130859375	251.65298461914062	1581.5333251953125	1710.2806396484375	3178.6630859375	1523.4906005859375	1554.9656982421875	2020.2001953125	1102.741455078125	985.3391723632812	291.1	134.6	354.5	531.5	678.8	584	86.8	431.7	451.9	758.4	393.2	465.3	484.2	288.9	243.5
O74700	TIM9	TIM9_YEAST	5	4	5	5	4	5	4	5	5	5	5	5	5	5	4	8580.185546875	9225.7890625	4656.6748046875	8333.955078125	8783.142578125	12761.49609375	6706.34814453125	8724.1708984375	9360.5009765625	17866.951171875	15141.5224609375	16800.080078125	14784.1943359375	7124.46875	6854.2392578125	3749.1	4678.3	2183.6	3869.7	4051.3	5958.1	3395.8	5713.8	4958.9	8208.3	6642.1	7840.6	6673.9	3488.4	3799.4
