Protein.IDs	Gene.names	Intensity.01	Intensity.02	Intensity.03	Intensity.04	Intensity.05	Intensity.06	Intensity.07	Intensity.08	Intensity.09	Intensity.10	Intensity.11	Intensity.12	Intensity.13	Intensity.14	Intensity.15	LFQ.intensity.01	LFQ.intensity.02	LFQ.intensity.03	LFQ.intensity.04	LFQ.intensity.05	LFQ.intensity.06	LFQ.intensity.07	LFQ.intensity.08	LFQ.intensity.09	LFQ.intensity.10	LFQ.intensity.11	LFQ.intensity.12	LFQ.intensity.13	LFQ.intensity.14	LFQ.intensity.15	MS.MS.count.01	MS.MS.count.02	MS.MS.count.03	MS.MS.count.04	MS.MS.count.05	MS.MS.count.06	MS.MS.count.07	MS.MS.count.08	MS.MS.count.09	MS.MS.count.10	MS.MS.count.11	MS.MS.count.12	MS.MS.count.13	MS.MS.count.14	MS.MS.count.15	MS.MS.count
A5Z2X5	YPR010C-A	0	25457000	0	54691000	0	32298000	0	0	0	0	0	0	0	0	39066000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	4
O14455;P05745	RPL36B;RPL36A	1.032e+09	1.034e+09	1799900000	1103700000	510830000	700950000	940310000	456100000	824840000	438350000	949890000	1190900000	921070000	1392500000	1462700000	672850000	802490000	560330000	492690000	749290000	451810000	401040000	480330000	691550000	669530000	516450000	607300000	597810000	472290000	586770000	4	4	4	4	4	3	4	3	4	3	4	5	3	4	3	56
O14467	MBF1	127050000	51359000	0	66250000	0	136280000	58185000	42241000	77124000	124040000	94857000	21558000	84905000	76362000	92538000	104740000	0	0	0	0	0	0	0	105680000	95456000	0	0	0	0	0	2	1	0	1	0	2	1	1	2	2	1	2	2	1	1	19
P0C2I4;P0CX67;O74302;Q12217;Q04706;P47099;P0CX68;P0CX69;P0CX66;P0CX65;P0CX60;P0CX59;P0CX58;P0CX57;P0CX76;Q12441;Q6Q5H1;Q12485;Q12085;Q03856;P0C2I8;P0CX75;P0CX74;P0CX73;P0CX72;P0CX71;P0CX70;Q12470;Q92392	TY1A-H;TY1A-GR3;TY1A-DR4;TY1A-BR;TY1A-ML1;TY1A-JR2;TY1A-LR1;TY1A-MR2;TY1A-ER2;TY1A-DR5;TY1A-PR2;TY1A-OR;TY1A-PR1;TY1A-A;TY1A-ML2;TY1A-DR3;TY1A-PR3;TY1A-GR2;TY1A-GR1;TY1A-DR1;TY1A-LR4;TY1A-LR3;TY1A-JR1;TY1A-PL;TY1A-LR2;TY1A-ER1;TY1A-DR6;TY1A-NL2;TY1A-OL	0	0	74067000	0	0	0	46644000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2
O74700	TIM9	15776000	0	22918000	22318000	12552000	53161000	17626000	15380000	0	41043000	25410000	37851000	30369000	31499000	37701000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	1	1	0	1	1	1	1	1	1	14
P00044;P00045	CYC1;CYC7	30447000	0	19079000	0	0	30894000	0	0	0	32844000	0	0	37016000	0	34219000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	6
P00127	QCR6	15277000	0	23751000	0	0	81326000	16385000	0	13727000	0	29708000	41162000	51371000	27531000	26922000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	1	1	1	10
P00128	QCR7	0	0	34686000	57528000	0	75485000	10230000	32893000	12137000	15968000	38496000	19334000	58397000	93175000	56578000	0	0	0	0	0	56704000	0	0	0	0	0	0	48458000	0	33014000	0	0	1	2	0	2	1	1	1	1	1	1	2	2	2	17
P00175	CYB2	6958000	0	7363700	0	0	0	0	0	0	0	9431600	7016200	0	10257000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	5
P00330	ADH1	5610300000	2779300000	7558800000	7227900000	3145300000	5212900000	6190900000	1660300000	2787600000	8110100000	7995200000	6823900000	9961200000	7901200000	6909600000	1217900000	1155600000	922920000	1151700000	1208700000	1247500000	1151900000	1.21e+09	1259400000	1519700000	1.451e+09	1401400000	1503800000	918800000	1075100000	25	16	21	22	17	23	22	9	17	28	27	25	32	28	26	338
