Gene_1	Gene_2	Annotation_2	Annotation_2
NDC80	HBT1	YIL144W	YDL223C
NDC80	FMP45	YIL144W	YDL222C
NDC80	SPC24	YIL144W	YMR117C
NDC80	IRE1	YIL144W	YHR079C
NDC80	PMA2	YIL144W	YPL036W
NDC80	NUF2	YIL144W	YOL069W
NDC80	NNF1	YIL144W	YJR112W
AME1	NDC80	YBR211C	YIL144W
PSA1	FUS3	YDL055C	YBL016W
SEC53	FUS3	YFL045C	YBL016W
TDH2	FUS3	YJR009C	YBL016W
PDC1	FUS3	YLR044C	YBL016W
FUS3	KSS1	YBL016W	YGR040W
NOG1	RRP6	YPL093W	YOR001W
NOP13	RRP6	YNL175C	YOR001W
DIM1	RRP6	YPL266W	YOR001W
NSR1	RRP6	YGR159C	YOR001W
EMG1	RRP6	YLR186W	YOR001W
UTP20	RRP6	YBL004W	YOR001W
RRP6	SEC16	YOR001W	YPL085W
RRP6	NAN1	YOR001W	YPL126W
RRP6	LRP1	YOR001W	YHR081W
RRP6	SAS10	YOR001W	YDL153C
RRP6	FCF1	YOR001W	YDR339C
RRP6	BMS1	YOR001W	YPL217C
RRP6	NOP14	YOR001W	YDL148C
RRP6	MPP10	YOR001W	YJR002W
RRP6	UTP11	YOR001W	YKL099C
RRP6	UTP7	YOR001W	YER082C
RRP6	ENP2	YOR001W	YGR145W
RRP6	BUD21	YOR001W	YOR078W
RRP6	RRP9	YOR001W	YPR137W
RRP6	IMP4	YOR001W	YNL075W
RRP6	SKI7	YOR001W	YOR076C
RRP6	NOC4	YOR001W	YPR144C
UTP14	RRP6	YML093W	YOR001W
RRP7	RRP6	YCL031C	YOR001W
ENP1	RRP6	YBR247C	YOR001W
RRP43	RRP6	YCR035C	YOR001W
KRR1	RRP6	YCL059C	YOR001W
RRP42	RRP6	YDL111C	YOR001W
PWP2	RRP6	YCR057C	YOR001W
BFR2	RRP6	YDR299W	YOR001W
RRP45	RRP6	YDR280W	YOR001W
