Gene_1	Gene_2	Annotation_2	Annotation_2
NDC80	HBT1	P40460	Q07653
NDC80	FMP45	P40460	Q07651
NDC80	SPC24	P40460	Q04477
NDC80	IRE1	P40460	P32361
NDC80	PMA2	P40460	P19657
NDC80	NUF2	P40460	P33895
NDC80	NNF1	P40460	P47149
AME1	NDC80	P38313	P40460
PSA1	FUS3	P41940	P16892
SEC53	FUS3	P07283	P16892
TDH2	FUS3	P00358	P16892
PDC1	FUS3	P06169	P16892
FUS3	KSS1	P16892	P14681
NOG1	RRP6	Q02892	Q12149
NOP13	RRP6	P53883	Q12149
DIM1	RRP6	P41819	Q12149
NSR1	RRP6	P27476	Q12149
EMG1	RRP6	Q06287	Q12149
UTP20	RRP6	P35194	Q12149
RRP6	SEC16	Q12149	P48415
RRP6	NAN1	Q12149	Q02931
RRP6	LRP1	Q12149	P38801
RRP6	SAS10	Q12149	Q12136
RRP6	FCF1	Q12149	Q05498
RRP6	BMS1	Q12149	Q08965
RRP6	NOP14	Q12149	Q99207
RRP6	MPP10	Q12149	P47083
RRP6	UTP11	Q12149	P34247
RRP6	UTP7	Q12149	P40055
RRP6	ENP2	Q12149	P48234
RRP6	BUD21	Q12149	Q08492
RRP6	RRP9	Q12149	Q06506
RRP6	IMP4	Q12149	P53941
RRP6	SKI7	Q12149	Q08491
RRP6	NOC4	Q12149	Q06512
UTP14	RRP6	Q04500	Q12149
RRP7	RRP6	P25368	Q12149
ENP1	RRP6	P38333	Q12149
RRP43	RRP6	P25359	Q12149
KRR1	RRP6	P25586	Q12149
RRP42	RRP6	Q12277	Q12149
PWP2	RRP6	P25635	Q12149
BFR2	RRP6	Q06631	Q12149
RRP45	RRP6	Q05636	Q12149
UTP4	RRP6	Q06679	Q12149
UTP6	RRP6	Q02354	Q12149
UTP5	RRP6	Q04177	Q12149
RRP46	RRP6	P53256	Q12149
UTP22	RRP6	P53254	Q12149
UTP8	RRP6	P53276	Q12149
SKI6	RRP6	P46948	Q12149
MTR3	RRP6	P48240	Q12149
RRP4	RRP6	P38792	Q12149
UTP9	RRP6	P38882	Q12149
FAF1	RRP6	P40546	Q12149
MTR4	RRP6	P47047	Q12149
RRT14	RRP6	P40470	Q12149
UTP10	RRP6	P42945	Q12149
UTP18	RRP6	P40362	Q12149
SOF1	RRP6	P33750	Q12149
DIP2	RRP6	Q12220	Q12149
FCF2	RRP6	Q12035	Q12149
UTP13	RRP6	Q05946	Q12149
NOP56	RRP6	Q12460	Q12149
UTP15	RRP6	Q04305	Q12149
UTP21	RRP6	Q06078	Q12149
RRP5	RRP6	Q05022	Q12149
ECM16	RRP6	Q04217	Q12149
KRE33	RRP6	P53914	Q12149
MPP6	RRP6	P53725	Q12149
CSL4	RRP6	P53859	Q12149
RCL1	RRP6	Q08096	Q12149
RRP40	RRP6	Q08285	Q12149
DIS3	RRP6	Q08162	Q12149
NOP58	RRP6	Q12499	Q12149
SOD1	ARC40	P00445	P38328
SOD1	ARC19	P00445	P33204
SOD1	GPM1	P00445	P00950
SOD1	COF1	P00445	Q03048
SOD1	CCS1	P00445	P40202
SOD1	FBA1	P00445	P14540
SOD1	TKL1	P00445	P23254
SOD1	PDC1	P00445	P06169
SOD1	GDH1	P00445	P07262
HXK2	SOD1	P04807	P00445
TDH3	SOD1	P00359	P00445
TSA1	SOD1	P34760	P00445
CDC19	SOD1	P00549	P00445
TDH2	SOD1	P00358	P00445
PGK1	SOD1	P00560	P00445
PGI1	SOD1	P12709	P00445
TPI1	SOD1	P00942	P00445
ENO1	SOD1	P00924	P00445
HXK1	SOD1	P04806	P00445
ENO2	SOD1	P00925	P00445
SEY1	KAE1	Q99287	P36132
SEC11	SEY1	P15367	Q99287
YOP1	SEY1	Q12402	Q99287
DPM1	SEY1	P14020	Q99287
ELO3	SEY1	P40319	Q99287
STU2	LIP1	P46675	Q03579
STU2	PEX14	P46675	P53112
AME1	NUF2	P38313	P33895
NDC80	NUF2	P40460	P33895
SPC24	NUF2	Q04477	P33895
SET2	SPT5	P46995	P27692
SET2	RPB2	P46995	P08518
SET2	RPB11	P46995	P38902
SET2	RPO26	P46995	P20435
SET2	SPN1	P46995	Q06505
IWR1	SET2	Q07532	P46995
RPB5	SET2	P20434	P46995
CEG1	SET2	Q01159	P46995
RPB9	SET2	P27999	P46995
RPC10	SET2	P40422	P46995
RPB10	SET2	P22139	P46995
ELF1	SET2	P36053	P46995
RPO21	SET2	P04050	P46995
RPB7	SET2	P34087	P46995
SPT16	SET2	P32558	P46995
SPT4	SET2	P32914	P46995
RPB3	SET2	P16370	P46995
RPB4	SET2	P20433	P46995
POB3	SET2	Q04636	P46995
SPT6	SET2	P23615	P46995
NMD2	SAP4	P38798	P53036
PEP4	NMD2	P07267	P38798
ASH1	NMD2	P34233	P38798
RPL4B	NMD2	P49626	P38798
CIR2	NMD2	Q08822	P38798
GPD1	NMD2	Q00055	P38798
PNG1	NMD2	Q02890	P38798
YGR266W	NMD2	P53326	P38798
DMA1	NMD2	P38823	P38798
POT1	NMD2	P27796	P38798
RPL3	NMD2	P14126	P38798
YRA1	NMD2	Q12159	P38798
ISW1	NMD2	P38144	P38798
UPF3	NMD2	P48412	P38798
NUM1	ASK10	Q00402	P48361
NUM1	YBL086C	Q00402	P38177
NUM1	YCK2	Q00402	P23292
NUM1	OSH3	Q00402	P38713
NUM1	ALR1	Q00402	Q08269
DED1	NIP1	P06634	P32497
DED1	TIF35	P06634	Q04067
DED1	NEW1	P06634	Q08972
DED1	SVL3	P06634	Q03088
ARB1	DED1	P40024	P06634
RPG1	DED1	P38249	P06634
TIF34	DED1	P40217	P06634
PRT1	DED1	P06103	P06634
RPL33A	DED1	P05744	P06634
YGR054W	DED1	P53235	P06634
TIF4631	DED1	P39935	P06634
TMA46	RPP0	Q12000	P05317
TMA46	RPL5	Q12000	P26321
TMA46	RPL36B	Q12000	O14455
RPS0B	TMA46	P46654	Q12000
RPS19B	TMA46	P07281	Q12000
RPS19A	TMA46	P07280	Q12000
RPL19A	TMA46	P0CX82	Q12000
RPS9A	TMA46	O13516	Q12000
RPL4B	TMA46	P49626	Q12000
ZUO1	TMA46	P32527	Q12000
SSZ1	TMA46	P38788	Q12000
