IP_bait_gene	IP_prey_gene	IP_bait_gene_uniprotID	IP_prey_gene_uniprotID
CSTF2	ACIN1	P33240	"E7EQT4;Q9UKV3;S4R3H4,G3V3T3,G3V3B0"
CSTF2	ARGLU1	P33240	Q9NWB6
CSTF2	BUD31	P33240	P41223
CSTF2	CDKAL1	P33240	Q5VV42
CSTF2	CPSF1	P33240	Q10570
CSTF2	CPSF2	P33240	Q9P2I0
CSTF2	CPSF3	P33240	Q9UKF6
CSTF2	CPSF4	P33240	O95639
CSTF2	CSTF1	P33240	Q05048
CSTF2	CSTF2T	P33240	Q9H0L4
CSTF2	CSTF3	P33240	Q12996
CSTF2	CWC15	P33240	Q9P013
CSTF2	EIF4A3	P33240	P38919
CSTF2	FIP1L1	P33240	Q6UN15
CSTF2	FNBP4	P33240	Q8N3X1
CSTF2	FUS	P33240	P35637
CSTF2	LUC7L	P33240	Q9NQ29
CSTF2	LUC7L2	P33240	Q9Y383
CSTF2	MAGOH;MAGOHB	P33240	P61326;Q96A72
CSTF2	MFAP1	P33240	P55081
CSTF2	NKAP	P33240	Q8N5F7
CSTF2	NONO	P33240	Q15233
CSTF2	PAXBP1	P33240	Q9Y5B6
CSTF2	PLRG1	P33240	O43660
CSTF2	PNN	P33240	Q9H307
CSTF2	PPIG	P33240	Q13427
CSTF2	PRPF19	P33240	Q9UMS4
CSTF2	PRPF40A	P33240	O75400
CSTF2	PRPF4B	P33240	Q13523
CSTF2	PRPF8	P33240	Q6P2Q9
CSTF2	RBM39	P33240	Q14498
CSTF2	RBM8A	P33240	Q9Y5S9
CSTF2	RNPS1	P33240	H3BMM9;H3BTC0;H3BV80;Q15287
CSTF2	SAP18	P33240	O00422;X6RAL5
CSTF2	SF3B2	P33240	"Q13435,H0YCG1"
CSTF2	SF3B6	P33240	Q9Y3B4
CSTF2	SFPQ	P33240	P23246
CSTF2	SNRNP200	P33240	O75643
CSTF2	SNRNP70	P33240	P08621
CSTF2	SNRPA	P33240	P09012
CSTF2	SNRPB	P33240	P14678
CSTF2	SNRPD2	P33240	"P62316,K7EJB5"
CSTF2	SNRPD3	P33240	P62318
CSTF2	SNRPE	P33240	P62304
CSTF2	SNRPF	P33240	P62306
CSTF2	SNRPG	P33240	P62308
CSTF2	SRSF10	P33240	O75494;Q5JRI1
CSTF2	SRSF7	P33240	Q16629
CSTF2	SRSF9	P33240	Q13242
CSTF2	SYMPK	P33240	Q92797
CSTF2	TFIP11	P33240	Q9UBB9
CSTF2	TRA2A	P33240	Q13595
CSTF2	TRA2B	P33240	P62995
CSTF2	WDR33	P33240	Q9C0J8
DLD	C14orf166	P09622	Q9Y224
DLD	CCDC137	P09622	Q6PK04
DLD	DDX1	P09622	Q92499
DLD	DDX41	P09622	J3KNN5;Q9UJV9
DLD	DDX42	P09622	Q86XP3
DLD	DDX50	P09622	Q9BQ39
DLD	DDX54	P09622	Q8TDD1
DLD	DHX30	P09622	Q7L2E3
DLD	DLAT	P09622	P10515
DLD	DLST	P09622	P36957
DLD	EBNA1BP2	P09622	H7C2Q8;Q99848
DLD	FTSJ3	P09622	Q8IY81
DLD	GTPBP4	P09622	Q9BZE4
DLD	HP1BP3	P09622	Q5SSJ5
DLD	KPNA3	P09622	O00505
DLD	KRI1	P09622	Q8N9T8
DLD	KRR1	P09622	Q13601
DLD	MRPS16	P09622	Q9Y3D3
DLD	MRPS31	P09622	Q92665
DLD	MRPS36	P09622	P82909
DLD	NOC3L	P09622	Q8WTT2
DLD	NOLC1	P09622	"A0A0A0MRM9,S4R341"
DLD	NUP153	P09622	P49790
DLD	NUP50	P09622	Q9UKX7
DLD	OGDH	P09622	Q02218
DLD	PDHA1	P09622	P08559
DLD	PDHB	P09622	P11177
DLD	PDHX	P09622	O00330
DLD	PDK3	P09622	Q15120
DLD	PPAN-P2RY11;PPAN	P09622	A0A0A6YYI3;Q9NQ55
DLD	PRSS1	P09622	E7EQ64;P07477
DLD	PTCD3	P09622	Q96EY7
DLD	RBM34	P09622	P42696
DLD	RIOX2	P09622	Q8IUF8
DLD	RPL12	P09622	P30050
DLD	RPL18A	P09622	Q02543
DLD	RPL22	P09622	P35268
DLD	RPL24	P09622	P83731
DLD	RPL27	P09622	P61353
DLD	RPL30	P09622	P62888
DLD	RPL31	P09622	P62899
DLD	RPL32	P09622	F8W727;P62910
DLD	RPL35	P09622	P42766
DLD	RPL39;RPL39P5	P09622	P62891;Q59GN2
