Protein_A	Protein_B	Uniprot_A	Uniprot_B
AARSD1	RPL23	Q9BTE6	P62829
ACTBL2	CCT2	Q562R1	P78371
ACTBL2	CCT7	Q562R1	Q99832
ACTL6A	CCT2	O96019	P78371
ACTL6A	RUVBL2	O96019	Q9Y230
ACTR10	DCTN1	Q9NZ32	Q14203
ACTR1A	DCTN1	P61163	Q14203
ACTR1B	CCT2	P42025	P78371
ACTR3	CCT2	P61158	P78371
ACTR6	RUVBL2	Q9GZN1	Q9Y230
ANAPC1	ANAPC5	Q9H1A4	Q9UJX4
ANAPC2	ANAPC5	Q9UJX6	Q9UJX4
ANAPC2	CDC16	Q9UJX6	Q13042
ANAPC2	CDC26	Q9UJX6	Q8NHZ8
ANAPC2	MAD2L1	Q9UJX6	Q13257
ANAPC5	ANAPC7	Q9UJX4	Q9UJX3
ANAPC5	ATL3	Q9UJX4	Q6DD88
ANAPC5	CDC16	Q9UJX4	Q13042
ANAPC5	CDC23	Q9UJX4	Q9UJX2
ANAPC5	CDC26	Q9UJX4	Q8NHZ8
ANAPC5	CDC27	Q9UJX4	P30260
ANAPC5	HSPA8	Q9UJX4	P11142
ARMC8	RANBP9	Q8IUR7	Q96S59
BCCIP	RPL23	Q9P287	P62829
BCL7A	SMARCC1	Q4VC05	Q92922
BCL7C	SMARCC1	Q8WUZ0	Q92922
BRD8	RUVBL2	Q9H0E9	Q9Y230
BUB3	CCT2	O43684	P78371
BUB3	CCT7	O43684	Q99832
C1D	EXOSC10	Q13901	Q01780
C1D	EXOSC2	Q13901	Q13868
C8orf33	RPL23A	Q9H7E9	P62750
CAPN2	RPL23	P17655	P62829
CAPZA1	DCTN1	P52907	Q14203
CAPZA2	DCTN1	P47755	Q14203
CAPZB	DCTN1	P47756	Q14203
CCT2	CCT3	P78371	P49368
CCT2	CCT4	P78371	P50991
CCT2	CCT5	P78371	P48643
CCT2	CCT6A	P78371	P40227
CCT2	CCT7	P78371	Q99832
CCT2	CCT8	P78371	P50990
CCT2	CDC40	P78371	O60508
CCT2	CSTF1	P78371	Q05048
CCT2	DCAF13	P78371	Q9NV06
CCT2	DCAF7	P78371	P61962
CCT2	GNB1	P78371	P62873
CCT2	GNB2	P78371	P62879
CCT2	METAP2	P78371	P50579
CCT2	NEDD1	P78371	Q8NHV4
CCT2	PDCL	P78371	Q13371
CCT2	PPP4C	P78371	P60510
CCT2	PPP6C	P78371	O00743
CCT2	PRDX2	P78371	P32119
CCT2	TCP1	P78371	P17987
CCT2	THOC3	P78371	Q96J01
CCT2	TSSC1	P78371	Q53HC9
CCT2	TUBB2A	P78371	Q13885
CCT2	TXNDC9	P78371	O14530
CCT2	UTP18	P78371	Q9Y5J1
CCT2	WDR61	P78371	Q9GZS3
CCT2	WDR70	P78371	Q9NW82
CCT2	WDR74	P78371	Q6RFH5
CCT2	WDR77	P78371	Q9BQA1
CCT2	WDR91	P78371	A4D1P6
CCT3	CCT7	P49368	Q99832
CCT4	CCT7	P50991	Q99832
CCT5	CCT7	P48643	Q99832
CCT6A	CCT7	P40227	Q99832
CCT7	CCT8	Q99832	P50990
CCT7	CDC40	Q99832	O60508
CCT7	DCAF13	Q99832	Q9NV06
CCT7	DCAF7	Q99832	P61962
CCT7	GNB1	Q99832	P62873
CCT7	HDAC1	Q99832	Q13547
CCT7	METAP2	Q99832	P50579
CCT7	NEDD1	Q99832	Q8NHV4
CCT7	PDCL	Q99832	Q13371
CCT7	PPP4C	Q99832	P60510
CCT7	TCP1	Q99832	P17987
CCT7	THOC3	Q99832	Q96J01
CCT7	TSSC1	Q99832	Q53HC9
CCT7	TXNDC9	Q99832	O14530
CCT7	WDR61	Q99832	Q9GZS3
CCT7	WDR70	Q99832	Q9NW82
CCT7	WDR77	Q99832	Q9BQA1
COPB1	COPE	P53618	O14579
COPB1	COPZ1	P53618	P61923
CPSF2	CPSF4	Q9P2I0	O95639
CPSF3	CPSF4	Q9UKF6	O95639
CPSF4	FIP1L1	O95639	Q6UN15
CPSF4	P4HA1	O95639	P13674
CPSF4	P4HA2	O95639	O15460
CPSF4	SRSF3	O95639	P84103
CPSF4	SRSF4	O95639	Q08170
CPSF4	SYMPK	O95639	Q92797
CPSF4	WDR33	O95639	Q9C0J8
CSTF2	CSTF2T	P33240	Q9H0L4
CSTF2	SYMPK	P33240	Q92797
CTCF	RPL23A	P49711	P62750
DAXX	RPL23A	Q9UER7	P62750
DBT	DLD	P11182	P09622
ACTR1B	DCTN1	P42025	Q14203
DCTN1	DCTN2	Q14203	Q13561
DCTN1	DCTN3	Q14203	O75935
DCTN1	DCTN4	Q14203	Q9UJW0
DCTN1	DCTN5	Q14203	Q9BTE1
CCT2	DCTN5	P78371	Q9BTE1
DDX21	RPL23A	Q9NR30	P62750
DDX27	RPL23A	Q96GQ7	P62750
DDX50	RANBP9	Q9BQ39	Q96S59
DHX57	RPL23A	Q6P158	P62750
DIS3	EXOSC2	Q9Y2L1	Q13868
DIS3L	EXOSC2	Q8TF46	Q13868
DLAT	DLD	P10515	P09622
C7orf55	DLD	Q96HJ9	P09622
DLD	DLST	P09622	P36957
DLD	HLTF	P09622	Q14527
DLD	NFS1	P09622	Q9Y697
DLD	OGDH	P09622	Q02218
DLD	PDHA1	P09622	P08559
DLD	PDHB	P09622	P11177
DLD	PDHX	P09622	O00330
DLD	PDK3	P09622	Q15120
DNAJA2	RPL23	O60884	P62829
DPCD	RUVBL2	Q9BVM2	Q9Y230
DPF1	SMARCC1	Q92782	Q92922
DPF2	SMARCC1	Q92785	Q92922
DPF3	SMARCC1	Q92784	Q92922
DYNC1H1	DYNC1I1	Q14204	O14576
DYNC1H1	DYNC1I2	Q14204	Q13409
DYNC1H1	DYNC1LI1	Q14204	Q9Y6G9
DYNC1I1	DYNC1I2	O14576	Q13409
DYNC1I2	DYNC1LI1	Q13409	Q9Y6G9
DYNC1I2	DYNC1LI2	Q13409	O43237
DYNC1I2	PAPSS1	Q13409	O43252
EIF3A	EIF3D	Q14152	O15371
EIF3A	EIF3E	Q14152	P60228
EIF3A	EIF3F	Q14152	O00303
EIF3A	EIF3G	Q14152	O75821
EIF3A	EIF3H	Q14152	O15372
EIF3A	EIF3I	Q14152	Q13347
EIF3A	EIF3L	Q14152	Q9Y262
EIF3A	EIF3M	Q14152	Q7L2H7
EIF3A	EIF4A1	Q14152	P60842
EP400	RUVBL2	Q96L91	Q9Y230
EXOSC1	EXOSC10	Q9Y3B2	Q01780
EXOSC1	EXOSC2	Q9Y3B2	Q13868
EXOSC10	EXOSC2	Q01780	Q13868
EXOSC10	EXOSC3	Q01780	Q9NQT5
EXOSC10	EXOSC4	Q01780	Q9NPD3
EXOSC10	EXOSC5	Q01780	Q9NQT4
EXOSC10	EXOSC7	Q01780	Q15024
EXOSC10	EXOSC8	Q01780	Q96B26
EXOSC10	MPHOSPH6	Q01780	Q99547
EXOSC10	RPL15	Q01780	P61313
EXOSC10	RPL4	Q01780	P36578
EXOSC2	EXOSC3	Q13868	Q9NQT5
EXOSC2	EXOSC4	Q13868	Q9NPD3
EXOSC2	EXOSC5	Q13868	Q9NQT4
EXOSC2	EXOSC6	Q13868	Q5RKV6
EXOSC2	EXOSC7	Q13868	Q15024
EXOSC2	EXOSC8	Q13868	Q96B26
EXOSC2	EXOSC9	Q13868	Q06265
EXOSC2	HBS1L	Q13868	Q9Y450
EXOSC2	MPHOSPH6	Q13868	Q99547
EXOSC2	NVL	Q13868	O15381
EXOSC2	RBM7	Q13868	Q9Y580
EXOSC2	WDR43	Q13868	Q15061
EXOSC2	ZCCHC8	Q13868	Q6NZY4
CCT2	GANAB	P78371	Q14697
GINS3	MCM2	Q9BRX5	P49736
GINS4	MCM2	Q9BRT9	P49736
GNB1	PFDN1	P62873	O60925
CCT2	GNB1L	P78371	Q9BYB4
CCT7	GNB1L	Q99832	Q9BYB4
