Protein_A	Protein_B	BioPlex_293T	BioPlex_HCT116	BioID_2018_2021	Mentha_20210802	HIunion	HIPPIE	recY2H_human	OpenCell	Corum	RBP_both	RBP_IP	RBP_SEC	Support_count	Uniprot_A	Uniprot_B
	FUS	0	0	0	0	0	1	0	0	0	0	0	0	1	P0DPI2	P35637
	PSMA3	0	0	0	0	0	1	0	0	0	0	0	0	1	P0DPI2	P25788
AAR2	CCT2	0	0	0	0	0	1	0	0	0	0	0	0	1	Q9Y312	P78371
AAR2	CCT7	0	0	0	0	0	1	0	0	0	0	0	0	1	Q9Y312	Q99832
AAR2	DYNC1H1	0	0	0	0	0	1	0	0	0	0	0	0	1	Q9Y312	Q14204
AAR2	EIF3A	0	0	0	0	0	1	0	0	0	0	0	0	1	Q9Y312	Q14152
AAR2	FUS	0	0	0	0	0	1	0	0	0	0	0	0	1	Q9Y312	P35637
AAR2	PPP2CA	0	0	0	0	0	1	0	0	0	0	0	0	1	Q9Y312	P67775
AAR2	PSMA3	0	0	0	0	0	1	0	0	0	0	0	0	1	Q9Y312	P25788
AAR2	RPL23	0	0	0	0	0	1	0	0	0	0	0	0	1	Q9Y312	P62829
AAR2	RPL23A	0	0	0	0	0	1	0	0	0	0	0	0	1	Q9Y312	P62750
AAR2	RUVBL2	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9Y312	Q9Y230
AARS2	DLD	0	0	1	0	0	0	0	0	0	0	0	0	1	Q5JTZ9	P09622
AARS2	DLST	0	0	1	1	0	1	0	0	0	0	0	0	3	Q5JTZ9	P36957
AARSD1	PFDN1	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9BTE6	O60925
AARSD1	RPL23	1	0	0	1	0	1	0	0	0	0	0	0	3	Q9BTE6	P62829
AARSD1	SEPT2	0	0	0	0	0	1	0	0	0	0	0	0	1	Q9BTE6	Q15019
AASDHPPT	DLD	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9NRN7	P09622
ABCE1	EIF3A	0	0	0	0	0	0	0	1	0	0	0	0	1	P61221	Q14152
ABCE1	MCM2	0	0	0	1	0	1	0	0	0	0	0	0	2	P61221	P49736
ABCF1	DYNC1I2	0	0	0	0	0	1	0	0	0	0	0	0	1	Q8NE71	Q13409
ABCF1	MCM2	0	0	0	1	0	1	0	0	0	0	0	0	2	Q8NE71	P49736
ABCF2	EIF3A	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UG63	Q14152
ABCF2	FUS	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UG63	P35637
ABHD14B	MCM2	0	0	0	1	0	1	0	0	0	0	0	0	2	Q96IU4	P49736
ACACA	COPB1	0	0	0	1	0	1	0	0	0	0	0	0	2	Q13085	P53618
ACACA	FUS	0	0	0	1	0	1	0	0	0	0	0	0	2	Q13085	P35637
ACAT1	DLD	0	0	0	1	0	1	0	0	0	0	0	0	2	P24752	P09622
ACIN1	DLD	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UKV3	P09622
ACIN1	DLST	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UKV3	P36957
ACIN1	SEPT2	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UKV3	Q15019
ACLY	MCM2	0	0	0	0	0	1	0	0	0	0	0	0	1	P53396	P49736
ACO2	RPL23	0	0	0	0	0	1	0	0	0	0	0	0	1	Q99798	P62829
ACO2	RPL23A	0	0	0	0	0	1	0	0	0	0	0	0	1	Q99798	P62750
ACO2	RUVBL2	0	0	0	0	0	1	0	0	0	0	0	0	1	Q99798	Q9Y230
ACOT9	DLST	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9Y305	P36957
ACOX1	MCM2	0	0	0	1	0	1	0	0	0	0	0	0	2	Q15067	P49736
ACTB	CCT2	0	0	0	1	0	1	0	1	0	0	0	0	3	P60709	P78371
ACTB	CCT7	0	0	0	0	0	0	0	1	0	0	0	0	1	P60709	Q99832
ACTB	DYNC1H1	0	0	0	0	0	0	0	1	0	0	0	0	1	P60709	Q14204
ACTB	FUS	0	0	0	1	0	1	0	0	0	0	0	0	2	P60709	P35637
ACTB	PSMA3	0	0	0	1	0	1	0	0	0	0	0	0	2	P60709	P25788
ACTB	RUVBL2	0	0	0	1	0	1	0	1	1	0	0	0	4	P60709	Q9Y230
ACTB	SMARCC1	0	0	0	0	0	0	0	1	1	0	0	0	2	P60709	Q92922
ACTBL2	CCT2	1	1	0	1	0	1	0	0	0	0	0	0	4	Q562R1	P78371
ACTBL2	CCT7	1	1	0	1	0	1	0	0	0	0	0	0	4	Q562R1	Q99832
ACTBL2	RUVBL2	0	0	0	0	0	0	0	0	1	0	0	0	1	Q562R1	Q9Y230
ACTBL2	SMARCC1	0	0	0	0	0	0	0	0	1	0	0	0	1	Q562R1	Q92922
ACTG1	CCT2	0	0	0	0	0	0	0	1	0	0	0	0	1	P63261	P78371
ACTG1	CCT7	0	0	0	0	0	0	0	1	0	0	0	0	1	P63261	Q99832
ACTG1	DYNC1I2	0	0	0	0	0	0	0	1	0	0	0	0	1	P63261	Q13409
ACTG1	SMARCC1	0	0	0	0	0	0	0	1	1	0	0	0	2	P63261	Q92922
ACTL6A	CCT2	1	0	0	1	0	1	0	1	0	0	0	0	4	O96019	P78371
ACTL6A	CCT7	0	0	0	1	0	1	0	0	0	0	0	0	2	O96019	Q99832
ACTL6A	FUS	0	0	0	0	0	0	0	0	1	0	0	0	1	O96019	P35637
ACTL6A	RUVBL2	1	0	0	1	0	1	0	1	1	0	0	0	5	O96019	Q9Y230
ACTL6A	SMARCC1	0	0	0	1	0	1	0	1	1	0	0	0	4	O96019	Q92922
ACTR10	DCTN1	1	1	1	1	0	1	0	0	0	0	0	0	5	Q9NZ32	Q14203
ACTR1A	CCT2	0	1	1	0	0	0	0	0	0	0	0	0	2	P61163	P78371
ACTR1A	DCTN1	1	1	1	1	0	1	0	0	0	0	0	0	5	P61163	Q14203
ACTR1A	DYNC1H1	0	0	1	1	0	1	0	1	0	0	0	0	4	P61163	Q14204
ACTR1B	CCT2	1	1	0	1	0	1	0	1	0	0	0	0	5	P42025	P78371
ACTR1B	CCT7	0	1	0	1	0	1	0	0	0	0	0	0	3	P42025	Q99832
ACTR2	CCT2	0	0	1	1	0	1	0	0	0	0	0	0	3	P61160	P78371
ACTR2	CCT7	0	0	1	1	0	1	0	0	0	0	0	0	3	P61160	Q99832
ACTR3	CCT2	1	0	1	1	0	1	0	0	0	0	0	0	4	P61158	P78371
ACTR3	CCT7	0	0	0	1	0	1	0	0	0	0	0	0	2	P61158	Q99832
ACTR3	MCM2	0	0	0	1	0	1	0	0	0	0	0	0	2	P61158	P49736
ACTR6	RUVBL2	1	1	0	1	0	1	0	1	1	0	0	0	6	Q9GZN1	Q9Y230
ADD1	SMARCC1	0	0	0	1	0	1	0	0	0	0	0	0	2	P35611	Q92922
ADD3	DYNC1I2	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UEY8	Q13409
ADNP	SEPT2	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9H2P0	Q15019
ADRM1	PSMA3	0	0	0	0	0	1	0	0	0	0	0	0	1	Q16186	P25788
AFG3L2	EXOSC10	0	0	0	0	0	0	0	0	0	0	0	1	1	Q9Y4W6	Q01780
AFG3L2	RPL23A	0	0	0	0	0	0	0	0	0	0	0	1	1	Q9Y4W6	P62750
AGK	DCTN1	0	0	0	1	0	1	0	0	0	0	0	0	2	Q53H12	Q14203
AGK	RPL23A	0	0	0	0	0	0	0	0	0	0	0	1	1	Q53H12	P62750
AGO2	RPL23	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UKV8	P62829
AGO2	RPL23A	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UKV8	P62750
AGO2	RUVBL2	0	0	0	1	0	1	0	0	0	0	0	0	2	Q9UKV8	Q9Y230
AHNAK	MCM2	0	0	0	1	0	1	0	0	0	0	0	0	2	Q09666	P49736
AHSA1	CCT2	0	0	0	1	0	1	0	0	0	0	0	0	2	O95433	P78371
AHSA1	EIF3A	0	0	0	1	0	1	0	0	0	0	0	0	2	O95433	Q14152
AHSA1	MCM2	0	0	0	1	0	1	0	0	0	0	0	0	2	O95433	P49736
AHSA1	RPL23	0	0	0	1	0	1	0	0	0	0	0	0	2	O95433	P62829
AIFM1	DLST	0	0	0	1	0	1	0	0	0	0	0	0	2	O95831	P36957
AIFM1	RUVBL2	0	1	0	0	0	0	0	0	0	0	0	0	1	O95831	Q9Y230
AIMP1	DLD	0	0	0	1	0	1	0	0	0	0	0	0	2	Q12904	P09622
AIMP1	RPL23	0	0	0	0	0	0	0	0	0	0	0	1	1	Q12904	P62829
AIMP1	RPL23A	0	0	0	1	0	1	0	0	0	0	0	1	3	Q12904	P62750
AIMP2	RPL23	0	0	0	0	0	0	0	0	0	0	0	1	1	Q13155	P62829
AIMP2	RPL23A	0	0	0	0	0	0	0	0	0	0	0	1	1	Q13155	P62750
AK2	DLD	0	0	0	1	0	1	0	0	0	0	0	0	2	P54819	P09622
AK4	DLD	0	0	0	1	0	1	0	0	0	0	0	0	2	P27144	P09622
