Protein_A	Protein_B	Uniprot_A	Uniprot_B
AAC3	DED1	P18238	P06634
AAC3	NUF2	P18238	P33895
AAC3	RBG1	P18238	P39729
AAD4	NUF2	Q07747	P33895
AAD4	RBG1	Q07747	P39729
AAR2	NMD2	P32357	P38798
AAT2	SUB1	P23542	P54000
ABD1	NDC80	P32783	P40460
ABD1	SIW14	P32783	P53965
ABD1	STU2	P32783	P46675
ABF1	CDC48	P14164	P25694
ABF1	SET2	P14164	P46995
ABF2	SNF5	Q02486	P18480
ABZ2	SUB1	Q03266	P54000
ACC1	DED1	Q00955	P06634
ACC1	NDC80	Q00955	P40460
ACC1	NUF2	Q00955	P33895
ACC1	SNF5	Q00955	P18480
ACC1	STU2	Q00955	P46675
ACH1	RRP6	P32316	Q12149
ACO1	SOD1	P19414	P00445
ACS2	CDC48	P52910	P25694
ACS2	RRP6	P52910	Q12149
ACS2	STM1	P52910	P39015
ACT1	CDC48	P60010	P25694
ACT1	DED1	P60010	P06634
ACT1	DEF1	P60010	P35732
ACT1	FUS3	P60010	P16892
ACT1	NDC80	P60010	P40460
ACT1	NMD2	P60010	P38798
ACT1	NUF2	P60010	P33895
ACT1	NUM1	P60010	Q00402
ACT1	PRP4	P60010	P20053
ACT1	SET2	P60010	P46995
ACT1	SIW14	P60010	P53965
ACT1	SNF5	P60010	P18480
ACT1	STM1	P60010	P39015
ACT1	STU2	P60010	P46675
ACT1	SUB1	P60010	P54000
ACT1	TUB4	P60010	P53378
ADA2	CDC48	Q02336	P25694
ADA2	NMD4	Q02336	Q12129
ADD37	CDC48	Q03233	P25694
ADD66	DBP1	P36040	P24784
ADD66	NDT80	P36040	P38830
ADE12	SIW14	P80210	P53965
ADE3	SIW14	P07245	P53965
ADF1	CDC48	Q2V2Q1	P25694
ADF1	RRP6	Q2V2Q1	Q12149
ADF1	STM1	Q2V2Q1	P39015
ADH3	SET2	P07246	P46995
ADK1	CDC48	P07170	P25694
ADK1	DED1	P07170	P06634
ADK2	RRP6	P26364	Q12149
ADO1	SIW14	P47143	P53965
ADR1	FUS3	P07248	P16892
ADY2	RBG1	P25613	P39729
ADY4	DBP1	Q05955	P24784
AEP2	CDC48	P22136	P25694
AEP2	DED1	P22136	P06634
AFG2	SET2	P32794	P46995
AFG2	SIW14	P32794	P53965
AFG3	CDC48	P39925	P25694
AFG3	NUF2	P39925	P33895
AFT1	NUF2	P22149	P33895
AFT1	SNF5	P22149	P18480
AGC1	CDC48	Q12482	P25694
AGC1	NUF2	Q12482	P33895
AGE2	DED1	P40529	P06634
AGP1	SIW14	P25376	P53965
AHC1	SIW14	Q12433	P53965
AHC2	NUM1	P25649	Q00402
AHC2	SIW14	P25649	P53965
AIM11	NUF2	P87275	P33895
AIM11	PRP4	P87275	P20053
AIM23	MRP51	P47015	Q02950
AIM24	NUM1	P47127	Q00402
AIM44	DED1	Q99299	P06634
AIM44	FUS3	Q99299	P16892
AIM45	RPO41	Q12480	P13433
AIM4	CDC48	P38305	P25694
AIM4	DEF1	P38305	P35732
AIR1	DED1	P40507	P06634
AIR2	DED1	Q12476	P06634
AIR2	MRP51	Q12476	Q02950
AIR2	RRP6	Q12476	Q12149
AKR1	FUS3	P39010	P16892
AKR1	STM1	P39010	P39015
AKR2	RRP6	Q12013	Q12149
ALA1	SIW14	P40825	P53965
ALD6	SIW14	P54115	P53965
ALF1	CDC48	P53904	P25694
ALG14	SUB1	P38242	P54000
ALG1	NDC80	P16661	P40460
ALG1	RRP6	P16661	Q12149
ALG2	NDC80	P43636	P40460
ALG2	NMD2	P43636	P38798
ALG2	SIW14	P43636	P53965
ALG5	RPO41	P40350	P13433
ALG5	SIW14	P40350	P53965
ALG6	RPO41	Q12001	P13433
ALG8	RPO41	P40351	P13433
ALG8	SIW14	P40351	P53965
ALG9	RPO41	P53868	P13433
ALG9	SET2	P53868	P46995
ALO1	TOM70	P54783	P07213
ALT2	SNF5	P52892	P18480
ALY1	FUS3	P36117	P16892
ALY2	FUS3	P47029	P16892
AME1	NDC80	P38313	P40460
AME1	NMD2	P38313	P38798
AME1	NUF2	P38313	P33895
AME1	SET2	P38313	P46995
AME1	SNF5	P38313	P18480
AME1	STU2	P38313	P46675
ANP1	NUM1	P32629	Q00402
ANP1	TMA46	P32629	Q12000
ANP1	TOM70	P32629	P07213
ANT1	SIW14	Q06497	P53965
AOS1	CDC48	Q06624	P25694
AOS1	RRP6	Q06624	Q12149
AOS1	SET2	Q06624	P46995
APA2	NUF2	P22108	P33895
APC1	CDC48	P53886	P25694
APC1	NDC80	P53886	P40460
APC1	RBG1	P53886	P39729
APC1	SET2	P53886	P46995
APC2	CDC48	Q12440	P25694
APC5	CDC48	Q08683	P25694
APC5	NMD2	Q08683	P38798
APC5	NUF2	Q08683	P33895
APC5	NUM1	Q08683	Q00402
APC5	SET2	Q08683	P46995
APC5	STM1	Q08683	P39015
APE4	CDC48	P38821	P25694
APJ1	CDC48	P53940	P25694
APJ1	RBG1	P53940	P39729
APJ1	RRP6	P53940	Q12149
APL1	SIW14	P27351	P53965
APL2	SUB1	P36000	P54000
APL5	CDC48	Q08951	P25694
APL5	DED1	Q08951	P06634
APL5	DEF1	Q08951	P35732
