	PG.Genes	PG.ProteinGroups	[1] 20250620_BB_LS_DIA_Pooled_IP_15x30_1.raw.PG.Quantity	[2] 20250620_BB_LS_DIA_Pooled_IP_15x30_2.raw.PG.Quantity	[3] 20250620_BB_LS_DIA_Pooled_IP_15x30_3.raw.PG.Quantity	[4] 20250620_BB_LS_DIA_Pooled_IP_15x30_4.raw.PG.Quantity	[5] 20250620_BB_LS_DIA_Pooled_IP_15x30_5.raw.PG.Quantity	[6] 20250620_BB_LS_DIA_Pooled_IP_15x30_6.raw.PG.Quantity	[7] 20250620_BB_LS_DIA_Pooled_IP_15x30_7.raw.PG.Quantity	[8] 20250620_BB_LS_DIA_Pooled_IP_15x30_8.raw.PG.Quantity	[9] 20250620_BB_LS_DIA_Pooled_IP_15x30_9.raw.PG.Quantity	[10] 20250620_BB_LS_DIA_Pooled_IP_15x30_10.raw.PG.Quantity	[11] 20250620_BB_LS_DIA_Pooled_IP_15x30_11.raw.PG.Quantity	[12] 20250620_BB_LS_DIA_Pooled_IP_15x30_12.raw.PG.Quantity	[13] 20250620_BB_LS_DIA_Pooled_IP_15x30_13.raw.PG.Quantity	[14] 20250620_BB_LS_DIA_Pooled_IP_15x30_14.raw.PG.Quantity	[15] 20250620_BB_LS_DIA_Pooled_IP_15x30_15.raw.PG.Quantity
0	IGKV3-7;IGKV3D-7;IGKV3OR2-268;IGKV3-15	A0A075B6H7;A0A0C4DH55;A0A0C4DH90;P01624	13251.41796875	53105.5625	35699.0390625	47188.5390625	63676.4921875	38950.2734375	29005.453125	29965.056640625	28846.18359375	27364.84765625	17748.48046875	9299.013671875	46670.59375	37075.109375	24324.271484375
1	IGLV3-9;IGLV3-21	A0A075B6K5;P80748	4229.4580078125	5766.82470703125	2564.4921875	6308.818359375	3509.900146484375	2073.6982421875	2622.52978515625	3359.20458984375	2867.797607421875	2643.9638671875	3548.0380859375	1828.5606689453125	2786.845703125	3049.718994140625	3506.774169921875
2	IGHV3-64;IGHV3OR16-10;IGHV3OR16-8;IGHV3-49;IGHV3-15;IGHV3-21;IGHV3-73;IGHV3-74;IGHV3-43;IGHV3-72;IGHV3OR16-9;IGHV3-20;IGHV3-38;IGHV3-66;IGHV3-64D;;;;IGHV3-11;IGHV3-48;IGHV3-23;IGHV3-13;IGHV3-53;IGHV3-30;IGHV3-33;IGHV3-7;IGHV3-9;IGHV3-30-3;IGHV3-30-5;IGHV3-43D;IGHV3-38-3;IGHV3OR16-17	A0A075B6Q5;A0A075B7F0;A0A075B7F1;A0A0A0MS15;A0A0B4J1V0;A0A0B4J1V1;A0A0B4J1V6;A0A0B4J1X5;A0A0B4J1X8;A0A0B4J1Y9;A0A0B4J2B5;A0A0C4DH32;A0A0C4DH36;A0A0C4DH42;A0A0J9YX35;A0A0J9YY99;A0AAG2SVT6;A0AAG2SXZ4;P01762;P01763;P01764;P01766;P01767;P01768;P01772;P01780;P01782;P0DP02;P0DP03;P0DP04;P0DTE1;S4R3C0	26921.0546875	29435.82421875	41886.68359375	56138.6484375	30339.38671875	22152.82421875	39681.9296875	43120.92578125	19176.76953125	22375.76171875	11781.07421875	14872.2724609375	25435.515625	25922.4921875	25733.328125
3	IGKV2D-24	A0A075B6R9	7082.51025390625	0.0	14855.6103515625	0.0	0.0	130303.3671875	0.0	0.0	20471.859375	9332.9853515625	0.0	0.0	23574.00390625	10738.4521484375	0.0
4	IGKV2D-29;IGKV2D-26;IGKV2-29	A0A075B6S2;A0A0A0MRZ7;A2NJV5	201956.4375	3491.283935546875	0.0	2925.523193359375	0.0	0.0	0.0	0.0	378640.1875	373644.125	3020.37890625	0.0	756681.1875	218667.0	0.0
5	IGKV1-27;IGKV1-8;IGKV1-9	A0A075B6S5;A0A0C4DH67;A0A0C4DH69	25217.177734375	30646.87109375	23155.943359375	33250.015625	25953.888671875	37665.47265625	49965.17578125	17052.80078125	45738.90625	10035.85546875	32773.53515625	21955.9140625	16427.890625	48182.59375	35452.2109375
6	IGKV3D-11;IGKV3-11	A0A0A0MRZ8;P04433	27615.052734375	30902.205078125	21020.69140625	28849.86328125	25507.009765625	22184.43359375	13627.1796875	25044.935546875	20452.541015625	17891.3203125	24470.8125	19984.880859375	23237.412109375	19919.2890625	27972.41015625
7	GATD3B;GATD3	A0A0B4J2D5;P0DPI2	6369.9365234375	12798.0673828125	5152.36962890625	4369.7021484375	22302.791015625	18282.671875	28808.3515625	4506.87109375	2197.5537109375	6021.81787109375	1763.4622802734375	4949.39990234375	20471.06640625	8190.0322265625	12408.935546875
8	IGKV3D-20	A0A0C4DH25	6910.1875	6823.029296875	0.0	7864.6669921875	0.0	5059.95947265625	0.0	5843.072265625	3861.68408203125	5400.70556640625	8365.763671875	2601.2626953125	6129.5234375	6145.7060546875	7731.0537109375
9	0.0	A0A0G2JRQ6	2478.40869140625	6081.1123046875	30113.671875	18758.3046875	8673.490234375	13947.4140625	871.65380859375	4981.2587890625	3740.157958984375	3594.6298828125	2023.0450439453125	5875.2744140625	8894.8427734375	22587.55859375	25011.353515625
