	Gene names	Protein IDs	LFQ intensity 1	LFQ intensity 2	LFQ intensity 3	LFQ intensity 4	LFQ intensity 5	LFQ intensity 6	LFQ intensity 7	LFQ intensity 8	LFQ intensity 9	LFQ intensity 10	LFQ intensity 11	LFQ intensity 12	LFQ intensity 13	LFQ intensity 14	LFQ intensity 15
0	IGKV A18;IGKV2D-26;IGKV2D-29;IGKV2D-30;IGKV2D-28;IGKV2-40	A2NJV5;A0A0A0MRZ7;A0A075B6S2;A0A075B6S6;A0A075B6P5;A0A087WW87;P06310;P01615;P01614	98111000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	308940000.0	0.0	0.0	364050000.0	0.0	0.0
1	IGKV1-8;IGKV1-9;IGKV1-27	A0A0C4DH67;A0A0C4DH69;A0A075B6S5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	AK4	A0A8I5KW96;P27144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	ESYT2	A0FGR8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	GTPBP10	A4D1E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	CNOT1	A5YKK6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	SMCHD1	A6NHR9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	SNRPG;SNRPGP15	P62308;A8MWD9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	IGLC1;IGLL5;IGLC6	P0DOY3;P0DOY2;P0CG04;B9A064;P0CF74;A0M8Q6	28098000.0	0.0	20137000.0	36214000.0	0.0	0.0	21253000.0	34568000.0	0.0	29102000.0	0.0	0.0	0.0	0.0	28346000.0
9	FAM195B	C9JLW8	18315000.0	26200000.0	30772000.0	0.0	30133000.0	19191000.0	24894000.0	36337000.0	0.0	45471000.0	0.0	23599000.0	25598000.0	21888000.0	50333000.0
10		CON__A2A4G1;CON__P08727;CON__P19001;CON__P19012;P08727;P19012;CON__Q6IFX2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11		CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	CP	CON__ENSEMBL:ENSBTAP00000031900;P00450	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13		CON__ENSEMBL:ENSBTAP00000038253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	KRT33A	CON__O76009;CON__Q6NTB9;O76009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15		CON__P00761	1812800000.0	2676800000.0	1159800000.0	2658100000.0	1790899999.9999995	1918500000.0	1317300000.0	2727600000.0	5071000000.0	1999300000.0	4111200000.0	1389000000.0	2286100000.0	2183200000.0	2467200000.0
16	KRT14	CON__P02533;P02533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	ALB	CON__P02768-1;P02768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18		CON__P02769	0.0	17531000.0	19134000.0	96407000.0	138000000.0	40772000.0	41621000.0	0.0	0.0	52293000.0	32358000.0	184120000.0	29611000.0	265920000.0	0.0
19		CON__P02777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20		CON__P05784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	KRT8	CON__P05787;P05787;CON__Q9DCV7;CON__Q3KNV1;CON__P08729;P08729;CON__H-INV:HIT000292931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	KRT16	CON__P08779;P08779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	KRT10	P13645;CON__P13645;CON__P02535-1;CON__Q7Z3Y8;Q7Z3Z0;Q7Z3Y8;Q7Z3Y7;CON__Q7Z3Z0;CON__Q7Z3Y7;CON__P08730-1;CON__Q148H6;CON__Q9Z2K1;CON__Q99456;CON__Q3ZAW8;CON__ENSEMBL:ENSP00000377550;CON__Q7Z3Y9;CON__P13646-1;P13646;Q99456;Q7Z3Y9	178150000.0	75630000.0	103380000.0	25523000.0	26148000.0	0.0	11934000.0	29545000.0	45676000.0	49700000.0	29653000.0	27342000.0	82251000.0	14085000.0	5920000.0
24	KRT5	CON__P13647;P13647;CON__Q8VED5;CON__Q5XKE5;Q5XKE5	42877000.0	0.0	47848000.0	0.0	15091000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25988000.0	0.0	0.0
25	KRT9	CON__P35527;P35527	412410000.0	0.0	56726000.0	14472000.0	0.0	0.0	2809200.0	0.0	0.0	57134000.0	0.0	8625800.0	0.0	0.0	0.0
26	KRT2	CON__P35908;CON__P35908v2;P35908	222190000.0	32630000.0	199890000.0	0.0	0.0	0.0	0.0	19896000.0	0.0	27450000.0	0.0	0.0	55130000.0	0.0	0.0
27	KRT6C;KRT6A	CON__P48668;P48668;CON__P04259;CON__P02538;P02538;CON__O95678;O95678;CON__P12035;P12035;Q01546;CON__P19013;P19013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	HRNR	CON__Q86YZ3;Q86YZ3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	NACA	E9PAV3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	C11orf98	E9PRG8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	ASNSD1	L0R819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	KIF2A	O00139	19506000.0	15667000.0	19581000.0	0.0	14455000.0	0.0	21058000.0	9881900.0	0.0	11928000.0	0.0	17936000.0	17137000.0	21434000.0	16240000.0
33	MYO1C	O00159	29200000.0	0.0	15502000.0	0.0	16874000.0	18553000.0	22619000.0	10688000.0	9822400.0	0.0	0.0	20112000.0	37394000.0	41215000.0	6271600.0
34	HAX1	O00165	10324000.0	15549000.0	0.0	19505000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11850000.0	0.0
35	AIP	O00170	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
