	Gene names	Protein IDs	Intensity 1	Intensity 2	Intensity 3	Intensity 4	Intensity 5	Intensity 6	Intensity 7	Intensity 8	Intensity 9	Intensity 10	Intensity 11	Intensity 12	Intensity 13	Intensity 14	Intensity 15
0	IGKV A18;IGKV2D-26;IGKV2D-29;IGKV2D-30;IGKV2D-28;IGKV2-40	A2NJV5;A0A0A0MRZ7;A0A075B6S2;A0A075B6S6;A0A075B6P5;A0A087WW87;P06310;P01615;P01614	155180000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189740000.0	430680000.0	0.0	0.0	562060000.0	81063000.0	0.0
1	IGKV1-8;IGKV1-9;IGKV1-27	A0A0C4DH67;A0A0C4DH69;A0A075B6S5	0.0	0.0	0.0	0.0	0.0	0.0	9188900.0	0.0	0.0	0.0	0.0	0.0	0.0	8169900.0	0.0
2	AK4	A0A8I5KW96;P27144	0.0	0.0	0.0	0.0	0.0	21753000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	ESYT2	A0FGR8	0.0	0.0	0.0	0.0	4435600.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16975000.0	0.0
4	GTPBP10	A4D1E9	7276600.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5501400.0	15174000.0	0.0
5	CNOT1	A5YKK6	10900000.0	16309000.0	0.0	0.0	4030800.0	7279200.0	0.0	0.0	0.0	0.0	0.0	0.0	2596800.0	0.0	0.0
6	SMCHD1	A6NHR9	4993500.0	0.0	0.0	0.0	0.0	12018000.0	0.0	0.0	0.0	0.0	0.0	0.0	6456300.0	7547300.0	4186000.0
7	SNRPG;SNRPGP15	P62308;A8MWD9	0.0	0.0	22383000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	IGLC1;IGLL5;IGLC6	P0DOY3;P0DOY2;P0CG04;B9A064;P0CF74;A0M8Q6	46279000.0	46805000.0	70243000.0	48285000.0	0.0	37144000.0	47622000.0	44172000.0	0.0	44129000.0	0.0	14272000.0	17273000.0	19760000.0	38135000.0
9	FAM195B	C9JLW8	27769000.0	37416000.0	107610000.0	0.0	78899000.0	37277000.0	81795000.0	72940000.0	5774400.0	101190000.0	0.0	49911000.0	62820000.0	35540000.0	127850000.0
10		CON__A2A4G1;CON__P08727;CON__P19001;CON__P19012;P08727;P19012;CON__Q6IFX2	0.0	0.0	0.0	0.0	0.0	13107000.0	0.0	0.0	0.0	0.0	0.0	0.0	12722000.0	0.0	0.0
11		CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	13463000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15513000.0	0.0	0.0	24145000.0
12	CP	CON__ENSEMBL:ENSBTAP00000031900;P00450	0.0	0.0	0.0	0.0	27506000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13		CON__ENSEMBL:ENSBTAP00000038253	27868000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4339100.0	0.0	0.0
14	KRT33A	CON__O76009;CON__Q6NTB9;O76009	0.0	9749100.0	41002000.0	0.0	0.0	34752000.0	0.0	0.0	37798000.0	0.0	0.0	0.0	39159000.0	0.0	0.0
15		CON__P00761	4881700000.0	5160700000.0	3045599999.9999995	6062099999.999999	4433700000.0	5087100000.0	4249300000.0	5349100000.0	3150099999.9999995	4252000000.0	5152100000.0	3781600000.0	5808700000.0	5570700000.0	5720300000.0
16	KRT14	CON__P02533;P02533	0.0	0.0	22285000.0	0.0	0.0	0.0	0.0	3939100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	ALB	CON__P02768-1;P02768	20946000.0	20330000.0	20134000.0	0.0	24194000.0	12963000.0	25375000.0	13801000.0	5380500.0	0.0	26706000.0	29007000.0	15615000.0	5849200.0	23214000.0
18		CON__P02769	34882000.0	39526000.0	67932000.0	351170000.0	587700000.0	211100000.0	184020000.0	0.0	0.0	176210000.0	53847000.0	784680000.0	115090000.0	1044400000.0	0.0
19		CON__P02777	0.0	30619000.0	0.0	0.0	0.0	30785000.0	0.0	0.0	13439000.0	18401000.0	0.0	0.0	0.0	0.0	0.0
20		CON__P05784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	KRT8	CON__P05787;P05787;CON__Q9DCV7;CON__Q3KNV1;CON__P08729;P08729;CON__H-INV:HIT000292931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73173000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	KRT16	CON__P08779;P08779	13202000.0	0.0	541280000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
