	PG.Genes	PG.ProteinGroups	[1] 20250502_YM_LS_Pooled_Lysates_IP01.raw.PG.Quantity	[2] 20250502_YM_LS_Pooled_Lysates_IP02.raw.PG.Quantity	[3] 20250502_YM_LS_Pooled_Lysates_IP03.raw.PG.Quantity	[4] 20250502_YM_LS_Pooled_Lysates_IP04.raw.PG.Quantity	[5] 20250502_YM_LS_Pooled_Lysates_IP05.raw.PG.Quantity	[6] 20250502_YM_LS_Pooled_Lysates_IP06.raw.PG.Quantity	[7] 20250502_YM_LS_Pooled_Lysates_IP07.raw.PG.Quantity	[8] 20250502_YM_LS_Pooled_Lysates_IP08.raw.PG.Quantity	[9] 20250502_YM_LS_Pooled_Lysates_IP09.raw.PG.Quantity	[10] 20250502_YM_LS_Pooled_Lysates_IP10.raw.PG.Quantity	[11] 20250502_YM_LS_Pooled_Lysates_IP11.raw.PG.Quantity	[12] 20250502_YM_LS_Pooled_Lysates_IP12.raw.PG.Quantity	[13] 20250502_YM_LS_Pooled_Lysates_IP13.raw.PG.Quantity	[14] 20250502_YM_LS_Pooled_Lysates_IP14.raw.PG.Quantity	[15] 20250502_YM_LS_Pooled_Lysates_IP15.raw.PG.Quantity
0	YPR010C-A	A5Z2X5	22661.283203125	25118.748046875	10233.904296875	21108.0390625	19317.822265625	29450.802734375	19379.630859375	32724.818359375	18833.208984375	25255.71484375	27522.16015625	24000.458984375	34910.7734375	16622.966796875	16796.509765625
1	RPS9A	O13516	507730.9375	594668.375	606232.9375	507594.25	658787.9375	499838.21875	609001.1875	473699.65625	549756.4375	557220.0	524497.25	570486.25	541730.75	620857.4375	667454.25
2	RPN13	O13563	6975.830078125	8351.1875	8842.0654296875	8460.44140625	5496.59423828125	7521.85205078125	10870.9111328125	9068.068359375	7549.11572265625	10255.556640625	7981.39306640625	6825.146484375	8174.365234375	6245.5185546875	6786.36328125
3	YPR089W	O13585	432.1210021972656	0.0	0.0	0.0	702.9306640625	0.0	446.255859375	0.0	887.6844482421875	1308.4915771484375	676.3549194335938	342.12371826171875	0.0	1139.7364501953125	808.6533203125
4	RPL36B	O14455	705708.25	926459.125	635450.75	696374.625	852165.4375	657100.125	653058.8125	687607.3125	736685.875	799926.3125	739172.25	794829.0625	785153.5625	770034.0625	774056.5
5	RTC6	O14464	0.0	645.5861206054688	640.1006469726562	1253.2813720703125	613.6834716796875	620.0155639648438	594.4596557617188	0.0	0.0	1225.006103515625	1236.356689453125	717.9511108398438	0.0	780.059326171875	457.3600158691406
6	MBF1	O14467	48377.83984375	45231.140625	13646.53515625	36997.1640625	35183.8515625	47764.32421875	20924.4296875	41950.265625	59778.546875	71833.609375	75898.671875	60577.15234375	54550.375	29664.951171875	26946.076171875
7	YBR085C-A	O43137	0.0	1708.666015625	0.0	0.0	0.0	1713.7952880859375	0.0	0.0	0.0	0.0	2215.797607421875	0.0	1375.4847412109375	0.0	0.0
8	MDM35	O60200	1220.19677734375	516.2808837890625	3260.3701171875	2230.549072265625	2341.49267578125	2403.109130859375	251.65298461914062	1581.5333251953125	1710.2806396484375	3178.6630859375	1523.4906005859375	1554.9656982421875	2020.2001953125	1102.741455078125	985.3391723632812
9	TIM9	O74700	8580.185546875	9225.7890625	4656.6748046875	8333.955078125	8783.142578125	12761.49609375	6706.34814453125	8724.1708984375	9360.5009765625	17866.951171875	15141.5224609375	16800.080078125	14784.1943359375	7124.46875	6854.2392578125
10	MRP10	O75012	4360.7041015625	626.7577514648438	1679.9083251953125	3544.530517578125	186673.390625	30026.763671875	3283.27783203125	5086.50390625	3921.034912109375	4747.39111328125	37998.53515625	5580.3828125	86487.96875	4768.41357421875	53638.74609375
11	SEM1	O94742	6416.52685546875	8538.609375	4615.3916015625	7580.28125	5264.10986328125	8011.69287109375	4571.47998046875	8974.2978515625	7164.36962890625	9579.3564453125	10460.7001953125	7016.53076171875	7351.47412109375	4023.32666015625	3623.327392578125
12	CYC1	P00044	13769.10546875	9109.0849609375	5716.06982421875	8905.8583984375	9273.658203125	15343.9306640625	7295.693359375	15867.3173828125	11121.65625	14424.9208984375	14132.111328125	15243.77734375	18273.876953125	7295.5234375	6094.470703125
13	QCR6	P00127	1342.6356201171875	1638.181884765625	1651.8929443359375	1856.0498046875	1405.81689453125	2166.4384765625	1760.597412109375	1837.71044921875	2053.523681640625	2074.298095703125	2152.04150390625	2116.472900390625	2811.26611328125	1266.9105224609375	2245.395263671875
14	QCR7	P00128	14872.650390625	14593.7392578125	8083.7998046875	16397.673828125	11716.2763671875	24517.486328125	7993.69775390625	17928.96875	16440.078125	18710.06640625	23159.423828125	17782.01171875	22832.228515625	12563.9521484375	10926.2978515625
15	COB;bI2;bI4;bI3	P00163;P03873;P03879;Q9ZZW7	1431.4373779296875	0.0	653.2011108398438	0.0	864.6396484375	0.0	0.0	0.0	0.0	1031.564697265625	1388.03515625	442.4582824707031	1169.2293701171875	0.0	0.0
16	CYB2	P00175	10789.5732421875	6275.4736328125	3869.585205078125	10343.0654296875	5323.06396484375	12626.935546875	7296.8984375	15577.64453125	11577.2822265625	8103.91845703125	13380.5966796875	8281.236328125	14635.078125	7215.7421875	5838.82421875
17	ADH1	P00330	937812.875	1021381.75	721967.625	1070532.875	932206.5	1315636.0	885258.125	1151351.75	973164.375	1358105.25	1385614.75	1349838.5	1413113.5	1028781.8125	964147.0625
18	ADH2	P00331	134597.78125	69356.390625	52329.875	110657.71875	38574.1171875	191356.15625	54693.58984375	179608.28125	123642.1171875	54471.71484375	152705.140625	50039.203125	192520.34375	76920.8359375	49171.171875
19	TDH2	P00358	1179808.125	1152542.625	980225.875	974342.0625	1088819.875	971596.8125	1277777.375	1228074.75	1305121.875	1089067.875	1226405.625	1129463.875	1041422.0625	915943.6875	1054708.375
20	TDH3	P00359	165513.671875	154581.328125	133310.8125	146074.671875	140079.53125	157205.625	147392.8125	145931.265625	160833.234375	155102.078125	181628.859375	161915.375	160989.96875	148825.421875	152948.875
21	TDH1	P00360	3105564.5	2752216.5	2155527.25	2529560.5	2378507.25	3159543.75	2549993.0	3494055.25	3524512.25	2587955.75	3462707.5	2534837.25	3399402.0	2510135.0	2445756.25
22	COX1	P00401	3786.315673828125	4205.85498046875	4872.625	5389.74267578125	4057.4267578125	7609.52490234375	6034.77099609375	5453.00244140625	4597.5341796875	4967.37060546875	6442.79638671875	4191.4892578125	6976.234375	4634.88623046875	3721.49072265625
23	COX2	P00410	12194.49609375	11891.974609375	14626.2158203125	13565.068359375	8473.359375	15119.1416015625	12366.814453125	17714.953125	12845.029296875	11932.96484375	14673.74609375	11642.2880859375	15513.9609375	16156.830078125	11496.4111328125
24	COX5A	P00424	6283.48193359375	7213.2041015625	4342.82421875	6395.99365234375	5923.4990234375	8600.7744140625	4311.97314453125	10721.59375	6564.82177734375	6153.31982421875	8843.4599609375	5871.74072265625	9438.21484375	4341.20654296875	3992.177734375
25	COX6	P00427	15511.9755859375	19222.771484375	6857.9658203125	18612.826171875	15088.95703125	28552.134765625	11161.7724609375	28778.4140625	19453.138671875	25894.708984375	28936.72265625	25372.03125	29961.82421875	15722.9033203125	13450.552734375
26	CCP1	P00431	3824.0498046875	1729.2027587890625	1345.760498046875	2066.182373046875	2022.797119140625	3179.6259765625	1333.094482421875	2416.8857421875	4108.3525390625	4175.21337890625	5316.85546875	3946.399169921875	3917.50537109375	1484.195068359375	1293.1416015625
27	SOD1	P00445	54621.8125	74994.6484375	6840.93359375	140283.0625	410207.375	35016.72265625	11151.58203125	442462.40625	198137.265625	30481.216796875	121443.546875	24386.005859375	26459.400390625	13117.974609375	12028.216796875
28	SOD2	P00447	13787.5849609375	7663.27783203125	10625.25390625	7399.79638671875	9968.40234375	9077.5341796875	11132.5859375	9369.421875	9246.546875	3685.3076171875	5616.93017578125	5915.23486328125	12909.318359375	9504.8583984375	7709.7060546875
29	HIS1	P00498	16627.51953125	11614.689453125	33171.90625	18469.443359375	22082.310546875	19408.09375	27887.525390625	14908.79296875	20174.68359375	12639.9619140625	9278.24609375	13234.068359375	14622.298828125	34290.7265625	32186.69921875
30	CDC28	P00546	18125.59765625	14268.22265625	20280.66796875	21021.97265625	16682.146484375	14887.609375	21839.240234375	16848.6171875	16381.1015625	9824.1318359375	10693.7333984375	11928.2626953125	17617.34375	15715.8115234375	16103.8564453125
31	CDC19	P00549	705084.25	697356.125	745411.6875	675510.5	774728.125	645497.5625	823740.5625	656636.625	792196.4375	634303.0625	674945.375	666963.5625	614652.3125	691126.1875	736738.0
32	PGK1	P00560	661552.8125	639321.3125	360560.84375	425380.625	565097.25	707264.0	472321.78125	662604.0	760684.0	758648.75	783930.0625	743916.0625	723286.625	523657.84375	500161.6875
33	CDC8	P00572	1545.593505859375	535.51123046875	2341.70361328125	0.0	0.0	0.0	1919.6607666015625	2461.525146484375	2155.76220703125	0.0	1224.0712890625	0.0	343.56182861328125	1815.43310546875	374.0971374511719
34	SUC2	P00724;P00724-2	2363.59814453125	1853.8392333984373	2077.908203125	3391.334716796875	0.0	9889.91796875	1063.3895263671877	8168.0234375	622.3414916992188	2619.56396484375	1496.7064208984375	2754.12255859375	9572.04296875	4560.97265625	2954.62548828125
35	PRC1	P00729	6116.34130859375	7401.70166015625	2150.712158203125	2957.654296875	2137.3466796875	4756.796875	578.4332885742188	4928.9658203125	5964.87451171875	5629.9541015625	6643.818359375	6143.71044921875	9733.7080078125	4535.1474609375	2889.931640625
36	CAR1	P00812	18999.62109375	16088.5302734375	9047.4189453125	17398.04296875	14518.37890625	28567.443359375	16465.529296875	29409.5234375	22030.162109375	16180.4384765625	19399.427734375	17834.314453125	30373.921875	16133.6923828125	12739.2314453125
