	Gene.names	Protein.IDs	Intensity.01	Intensity.02	Intensity.03	Intensity.04	Intensity.05	Intensity.06	Intensity.07	Intensity.08	Intensity.09	Intensity.10	Intensity.11	Intensity.12	Intensity.13	Intensity.14	Intensity.15
0	YPR010C-A	A5Z2X5	0.0	25457000.0	0.0	54691000.0	0.0	32298000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39066000.0
1	RPL36B;RPL36A	O14455;P05745	1032000000.0	1034000000.0	1799900000.0	1103700000.0	510830000.0	700950000.0	940310000.0	456100000.0	824840000.0	438350000.0	949890000.0	1190900000.0	921070000.0	1392500000.0	1462700000.0
2	MBF1	O14467	127050000.0	51359000.0	0.0	66250000.0	0.0	136280000.0	58185000.0	42241000.0	77124000.0	124040000.0	94857000.0	21558000.0	84905000.0	76362000.0	92538000.0
3	TY1A-H;TY1A-GR3;TY1A-DR4;TY1A-BR;TY1A-ML1;TY1A-JR2;TY1A-LR1;TY1A-MR2;TY1A-ER2;TY1A-DR5;TY1A-PR2;TY1A-OR;TY1A-PR1;TY1A-A;TY1A-ML2;TY1A-DR3;TY1A-PR3;TY1A-GR2;TY1A-GR1;TY1A-DR1;TY1A-LR4;TY1A-LR3;TY1A-JR1;TY1A-PL;TY1A-LR2;TY1A-ER1;TY1A-DR6;TY1A-NL2;TY1A-OL	P0C2I4;P0CX67;O74302;Q12217;Q04706;P47099;P0CX68;P0CX69;P0CX66;P0CX65;P0CX60;P0CX59;P0CX58;P0CX57;P0CX76;Q12441;Q6Q5H1;Q12485;Q12085;Q03856;P0C2I8;P0CX75;P0CX74;P0CX73;P0CX72;P0CX71;P0CX70;Q12470;Q92392	0.0	0.0	74067000.0	0.0	0.0	0.0	46644000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	TIM9	O74700	15776000.0	0.0	22918000.0	22318000.0	12552000.0	53161000.0	17626000.0	15380000.0	0.0	41043000.0	25410000.0	37851000.0	30369000.0	31499000.0	37701000.0
5	CYC1;CYC7	P00044;P00045	30447000.0	0.0	19079000.0	0.0	0.0	30894000.0	0.0	0.0	0.0	32844000.0	0.0	0.0	37016000.0	0.0	34219000.0
6	QCR6	P00127	15277000.0	0.0	23751000.0	0.0	0.0	81326000.0	16385000.0	0.0	13727000.0	0.0	29708000.0	41162000.0	51371000.0	27531000.0	26922000.0
7	QCR7	P00128	0.0	0.0	34686000.0	57528000.0	0.0	75485000.0	10230000.0	32893000.0	12137000.0	15968000.0	38496000.0	19334000.0	58397000.0	93175000.0	56578000.0
8	CYB2	P00175	6958000.0	0.0	7363700.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9431600.0	7016200.0	0.0	10257000.0	0.0
9	ADH1	P00330	5610300000.0	2779300000.0	7558800000.0	7227900000.0	3145300000.0	5212900000.0	6190900000.0	1660300000.0	2787600000.0	8110100000.0	7995200000.0	6823900000.0	9961200000.0	7901200000.0	6909600000.0
