	Gene.names	Protein.IDs	LFQ.intensity.01	LFQ.intensity.02	LFQ.intensity.03	LFQ.intensity.04	LFQ.intensity.05	LFQ.intensity.06	LFQ.intensity.07	LFQ.intensity.08	LFQ.intensity.09	LFQ.intensity.10	LFQ.intensity.11	LFQ.intensity.12	LFQ.intensity.13	LFQ.intensity.14	LFQ.intensity.15
0	YPR010C-A	A5Z2X5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	RPL36B;RPL36A	O14455;P05745	672850000.0	802490000.0	560330000.0	492690000.0	749290000.0	451810000.0	401040000.0	480330000.0	691550000.0	669530000.0	516450000.0	607300000.0	597810000.0	472290000.0	586770000.0
2	MBF1	O14467	104740000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105680000.0	95456000.0	0.0	0.0	0.0	0.0	0.0
3	TY1A-H;TY1A-GR3;TY1A-DR4;TY1A-BR;TY1A-ML1;TY1A-JR2;TY1A-LR1;TY1A-MR2;TY1A-ER2;TY1A-DR5;TY1A-PR2;TY1A-OR;TY1A-PR1;TY1A-A;TY1A-ML2;TY1A-DR3;TY1A-PR3;TY1A-GR2;TY1A-GR1;TY1A-DR1;TY1A-LR4;TY1A-LR3;TY1A-JR1;TY1A-PL;TY1A-LR2;TY1A-ER1;TY1A-DR6;TY1A-NL2;TY1A-OL	P0C2I4;P0CX67;O74302;Q12217;Q04706;P47099;P0CX68;P0CX69;P0CX66;P0CX65;P0CX60;P0CX59;P0CX58;P0CX57;P0CX76;Q12441;Q6Q5H1;Q12485;Q12085;Q03856;P0C2I8;P0CX75;P0CX74;P0CX73;P0CX72;P0CX71;P0CX70;Q12470;Q92392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	TIM9	O74700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	CYC1;CYC7	P00044;P00045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	QCR6	P00127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	QCR7	P00128	0.0	0.0	0.0	0.0	0.0	56704000.0	0.0	0.0	0.0	0.0	0.0	0.0	48458000.0	0.0	33014000.0
8	CYB2	P00175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	ADH1	P00330	1217900000.0	1155600000.0	922920000.0	1151700000.0	1208700000.0	1247500000.0	1151900000.0	1210000000.0	1259400000.0	1519700000.0	1451000000.0	1401400000.0	1503800000.0	918800000.0	1075100000.0
